stations,n,kim,hub,sch,ley,logbox,l.kim,l.hub,l.sch,l.ley,l.logbox,u.kim,u.hub,u.sch,u.ley,u.logbox
NG000001090,28493.6667,722,764,442.3333,487.6667,0.6667,-3.5339,-3.9265,-3.9398,-3.7215,-11.1418,3.3568,2.9343,3.7224,3.9042,11.2345
NLE00152470,42085,605.6667,677,324.3333,332.6667,0,-5.8042,-5.2782,-6.444,-6.6985,-16.5496,6.114,6.55,6.8084,6.521,16.4939
NLM00006235,41865.3333,917.6667,965.6667,556.6667,563.3333,0,-4.7613,-4.4883,-5.2887,-5.4273,-12.9784,4.9342,5.1427,5.4922,5.3271,12.9464
NLM00006260,44011.6667,628.6667,722,334,350,0,-5.7523,-5.2533,-6.3873,-6.598,-16.0933,5.9914,6.4009,6.6711,6.4385,16.0334
NLM00006310,41905,812.6667,900.3333,459.6667,469,0,-4.5866,-4.1904,-5.0929,-5.3054,-13.3939,4.8647,5.1896,5.4164,5.1774,13.3674
NLM00006380,42111.3333,494.3333,624,243,266,0,-6.2209,-5.4884,-6.9041,-7.2828,-17.267,6.6996,7.3497,7.4629,7.0467,17.2097
NO000001026,35263.6667,411.3333,453,195,208.6667,0,-5.9888,-5.4619,-6.6494,-6.8706,-15.7715,6.2173,6.6536,6.9231,6.696,15.6977
NO000001465,24743.6667,622,637,384,380,0,-4.3427,-4.2682,-4.8291,-4.8908,-10.5531,4.454,4.5041,4.9525,4.8944,10.5837
NO000080700,21846,250.6667,286,121,123.3333,0,-6.3718,-5.8899,-7.0776,-7.2675,-14.782,6.5919,6.9797,7.3374,7.1337,14.7367
NO000097250,19547.6667,1070,1068,765,763.6667,0,-9.8196,-10.1131,-10.9353,-10.9527,-31.8244,10.1488,9.7813,11.2687,11.2436,32.125
NO000099710,28720.6667,1409.3333,1411,993.3333,992.6667,0.6667,-5.6281,-5.7893,-6.2663,-6.2579,-16.6308,5.7556,5.5482,6.3918,6.4033,16.7717
NOE00105472,30778.6667,951.3333,977,605.6667,603.6667,0.3333,-3.9102,-4.0211,-4.3521,-4.3155,-10.8574,3.9176,3.7711,4.3521,4.3899,10.9151
