stations,n,kim,hub,sch,ley,logbox,bar,l.kim,l.hub,l.sch,l.ley,l.logbox,l.bar,u.kim,u.hub,u.sch,u.ley,u.logbox,u.bar
USC00264935,19295,284.3333,302,144.3333,152,0,7,-7.7309,-8.2675,-8.61,-8.3596,-20.2491,-11.8944,7.5329,6.8854,8.3625,8.6038,20.3828,12.028
USC00264950,39639.3333,735,834.3333,380.6667,461.6667,0,18,-8.1168,-9.1524,-9.0499,-8.5074,-27.148,-12.7004,7.6848,6.6168,8.5207,8.9434,27.3671,12.9194
USC00265168,41023.3333,1025,1062,577.6667,637.6667,0,43.3333,-6.6569,-7.2568,-7.4187,-7.1216,-22.4816,-10.5598,6.4542,5.7714,7.1603,7.4174,22.6527,10.731
USC00265191,35726.6667,773,856.6667,452,485.6667,0,47,-7.0154,-7.6309,-7.8153,-7.4294,-20.4188,-10.9627,6.636,5.9342,7.3645,7.6887,20.5184,11.0623
USC00265352,35175.3333,745.3333,790.6667,419,442.3333,0,32.3333,-7.2197,-7.7074,-8.0406,-7.775,-21.2654,-11.4,6.9927,6.4092,7.7629,8.0017,21.3787,11.5133
USC00265818,34657.3333,557.6667,614,299.3333,332.3333,0,21,-7.5067,-8.1953,-8.364,-8.0018,-21.8343,-11.7504,7.1673,6.379,7.9528,8.3042,21.9762,11.8923
USC00265890,23824.6667,473.3333,503.3333,263,275.6667,0,14.6667,-6.1054,-6.5545,-6.8001,-6.5544,-16.8115,-9.4424,5.8845,5.346,6.5321,6.7553,16.9069,9.5379
USC00266005,21248.3333,317,362.6667,162.6667,197.3333,0,16,-7.263,-8.0733,-8.0954,-7.5998,-21.0379,-11.0119,6.8182,5.9513,7.5622,7.9447,21.1853,11.1593
USC00266252,28375.3333,570.6667,617.3333,325.3333,391.6667,0,30,-6.7718,-7.6963,-7.5527,-7.1098,-21.8494,-10.4419,6.4529,5.4865,7.1526,7.5167,22.0749,10.6673
USC00267369,35011.3333,653,659.3333,347.3333,379,0,22.6667,-6.3881,-6.8744,-7.1168,-6.8492,-17.807,-10.0691,6.186,5.6063,6.8651,7.0904,17.9374,10.1995
USC00267908,16769.6667,409.3333,430.3333,246.3333,268.6667,0,26.6667,-6.4924,-7.1365,-7.2355,-6.9323,-20.0121,-9.8678,6.297,5.5835,6.9857,7.2239,20.182,10.0377
USC00268160,14742.3333,246,290,127.3333,182.6667,0,9.6667,-7.8561,-9.2372,-8.7663,-8.0018,-25.4421,-11.5184,7.1925,5.881,7.967,8.5513,25.6883,11.7646
USC00268761,22691.3333,229.3333,285.6667,108.3333,141,0,4.3333,-8.5046,-9.5456,-9.4797,-8.9012,-22.8095,-12.9313,7.9814,6.8716,8.8521,9.3106,22.9858,13.1076
USC00268988,28092.6667,631,696.6667,368.3333,401,0,37.3333,-7.8136,-8.6156,-8.7089,-8.2716,-24.6631,-12.0919,7.4611,6.5821,8.2758,8.6392,24.8507,12.2794
USC00269229,34521,709.6667,792.6667,405,428,0,32.6667,-6.9631,-7.5497,-7.7564,-7.39,-20.1608,-10.8746,6.5957,5.9229,7.3204,7.6353,20.2529,10.9667
USC00270690,38119.3333,652.3333,652.6667,353.3333,352.3333,0,13.3333,-10.0354,-9.8554,-11.1554,-11.1954,-23.4753,-16.2699,10.0425,10.1739,11.1703,11.1329,23.4302,16.2248
USC00272174,43781.3333,561,623.6667,275.6667,286.6667,0,7,-8.882,-8.3093,-9.8666,-10.1117,-21.5555,-14.7329,9.1733,9.6217,10.21,9.9387,21.4986,14.6759
