stations,n,kim,hub,sch,ley,logbox,bar,l.kim,l.hub,l.sch,l.ley,l.logbox,l.bar,u.kim,u.hub,u.sch,u.ley,u.logbox,u.bar
USC00093060,9178.3333,431.3333,552.6667,316.3333,821,0,234.3333,-13.3697,-5.1016,-15.2297,-20.1963,-225.5416,-33.4612,38.2334,73.1494,42.1504,26.686,236.6248,44.5444
USC00093271,10207,519,822.3333,403.3333,985,0,320.6667,-12.3655,-5.0044,-13.9827,-19.5027,-236.0154,-31.8517,35.3977,72.196,39.1276,23.663,244.8936,40.7299
USC00093386,8043,427,573,345.3333,751.3333,0,286.3333,-12.5167,-4.6437,-14.2629,-19.505,-249.262,-31.6365,36.7251,71.8316,40.4915,25.6684,259.9367,42.3112
USC00093506,4467,206.3333,198.6667,161.3333,331.3333,0,128.6667,-13.8441,-5.338,-15.9178,-20.7497,-194.6101,-31.5176,38.4339,65.037,42.2129,30.1073,207.7758,44.6832
USC00093621,13163,577,932,433.3333,1147,0,320.3333,-13.0674,-5.0561,-14.8506,-20.4009,-226.2722,-34.4479,38.6551,76.2594,42.6623,26.1234,236.961,45.1366
USC00093754,11528.3333,652,1025.6667,514.6667,1160,1,400,-11.9097,-4.706,-13.4832,-19.178,-254.0791,-31.5581,35.3082,72.7924,39.0208,23.4687,263.1469,40.6258
USC00094133,9953.3333,419,585.6667,299.6667,847,0,214,-13.7412,-5.1094,-15.7048,-21.1276,-230.9238,-34.853,40.3193,75.8896,44.4079,28.7242,243.2657,47.195
USC00094170,11335.3333,536,862,408.3333,1054,0,317,-12.4769,-4.4893,-14.2438,-19.6675,-260.5369,-33.5915,39.1117,77.4064,43.1202,26.2783,272.1537,45.2083
USC00094941,9221,427.3333,643.3333,320,840.6667,0,248.6667,-13.792,-5.36,-15.6388,-21.1288,-246.0066,-34.8747,39.2274,78.9291,43.3162,26.5372,256.4218,45.2898
USC00094949,7976.6667,391.3333,545.6667,289.3333,708.3333,0,224.3333,-13.8004,-5.4163,-15.6991,-21.1074,-263.786,-34.2181,39.1756,74.7649,43.2075,27.4282,274.8704,45.3025
USC00095204,5835.3333,264.3333,366.6667,198.3333,526,0,160.3333,-12.5025,-4.4203,-14.3007,-19.5524,-225.7779,-31.5054,38.0796,73.752,41.9441,26.6714,237.5114,43.2389
USC00095314,10460.3333,536.6667,716.6667,406.6667,962,2,314.3333,-12.5051,-4.504,-14.2973,-19.5065,-228.8134,-32.4377,37.7363,72.696,41.5687,26.5138,240.3768,44.001
USC00095394,5856,238.6667,286.6667,183.6667,485.6667,0,153.6667,-15.0937,-5.1358,-17.4218,-22.4393,-250.0701,-37.0405,46.0566,81.7369,50.5743,33.844,266.3644,53.3348
USC00095874,11431.6667,588.6667,858.6667,454.6667,1089,0,353.6667,-12.069,-4.6781,-13.7162,-18.8958,-241.2151,-31.396,35.4432,69.6076,39.1151,24.1854,251.0259,41.2068
USC00095882,8245,378,472.6667,266,676,0,184,-13.199,-4.8749,-15.1527,-19.9713,-212.7565,-32.9764,39.2364,70.6268,43.1529,28.4765,225.6448,45.8647
USC00095979,11120.3333,550,840.6667,413.3333,1168.3333,0,326.3333,-12.1292,-4.3454,-13.821,-19.0054,-294.6462,-32.8204,38.0656,77.7717,41.9931,24.9715,305.6049,43.7791
USC00095988,10787.3333,479,621.6667,351.6667,918,0,254,-13.8214,-5.1391,-15.7869,-20.6289,-225.8509,-34.8053,39.802,74.9356,43.8398,28.099,237.9487,46.903
