"time","temperature"
2020-07-01 00:02:30,31.463
2020-07-01 00:07:30,31.25556
2020-07-01 00:12:30,31.10612
2020-07-01 00:17:30,31.43966
2020-07-01 00:22:30,31.25136
2020-07-01 00:27:30,31.0068
2020-07-01 00:32:30,30.89406
2020-07-01 00:37:30,31.12064
2020-07-01 00:42:30,31.03758
2020-07-01 00:47:30,31.13818
2020-07-01 00:52:30,31.0362
2020-07-01 00:57:30,30.80612
2020-07-01 01:02:30,30.92936
2020-07-01 01:07:30,31.14358
2020-07-01 01:12:30,31.26872
2020-07-01 01:17:30,30.99848
2020-07-01 01:22:30,31.27822
2020-07-01 01:27:30,30.76368
2020-07-01 01:32:30,30.82196
2020-07-01 01:37:30,31.04584
2020-07-01 01:42:30,30.99386
2020-07-01 01:47:30,30.89742
2020-07-01 01:52:30,30.9805
2020-07-01 01:57:30,30.87816
2020-07-01 02:02:30,30.88604
2020-07-01 02:07:30,30.7111
2020-07-01 02:12:30,30.5167
2020-07-01 02:17:30,30.68472
2020-07-01 02:22:30,30.60608
2020-07-01 02:27:30,30.59378
2020-07-01 02:32:30,30.45376
2020-07-01 02:37:30,30.42948
2020-07-01 02:42:30,30.37502
2020-07-01 02:47:30,30.29644
2020-07-01 02:52:30,30.1907
2020-07-01 02:57:30,30.06692
2020-07-01 03:02:30,29.88026
2020-07-01 03:07:30,29.6703
2020-07-01 03:12:30,29.61044
2020-07-01 03:17:30,29.45326
2020-07-01 03:22:30,29.2997
2020-07-01 03:27:30,29.14902
2020-07-01 03:32:30,28.9042
2020-07-01 03:37:30,28.83592
2020-07-01 03:42:30,28.68182
2020-07-01 03:47:30,28.52028
2020-07-01 03:52:30,28.42268
2020-07-01 03:57:30,28.30418
2020-07-01 04:02:30,28.1639
2020-07-01 04:07:30,28.01442
2020-07-01 04:12:30,27.97812
2020-07-01 04:17:30,27.9362
2020-07-01 04:22:30,28.01994
2020-07-01 04:27:30,27.85354
2020-07-01 04:32:30,27.77388
2020-07-01 04:37:30,27.57024
2020-07-01 04:42:30,27.47174
2020-07-01 04:47:30,27.38276
2020-07-01 04:52:30,27.3012
2020-07-01 04:57:30,27.22998
2020-07-01 05:02:30,27.20048
2020-07-01 05:07:30,27.39154
2020-07-01 05:12:30,27.31188
2020-07-01 05:17:30,27.1811
2020-07-01 05:22:30,27.1886
2020-07-01 05:27:30,27.05446
2020-07-01 05:32:30,26.92694
2020-07-01 05:37:30,26.89508
2020-07-01 05:42:30,26.83572
2020-07-01 05:47:30,26.77606
2020-07-01 05:52:30,26.65408
2020-07-01 05:57:30,26.39712
2020-07-01 06:02:30,26.1472
2020-07-01 06:07:30,26.1284
2020-07-01 06:12:30,26.17178
2020-07-01 06:17:30,26.17272
2020-07-01 06:22:30,26.01776
2020-07-01 06:27:30,25.90818
2020-07-01 06:32:30,25.89338
2020-07-01 06:37:30,25.36962
2020-07-01 06:42:30,24.54694
2020-07-01 06:47:30,23.8989
2020-07-01 06:52:30,23.89424
2020-07-01 06:57:30,24.034
2020-07-01 07:02:30,24.00084
2020-07-01 07:07:30,24.10342
2020-07-01 07:12:30,24.3396
2020-07-01 07:17:30,24.99136
2020-07-01 07:22:30,25.04876
2020-07-01 07:27:30,25.34128
2020-07-01 07:32:30,25.12424
2020-07-01 07:37:30,24.95068
2020-07-01 07:42:30,25.14706
2020-07-01 07:47:30,25.6134
2020-07-01 07:52:30,25.68844
2020-07-01 07:57:30,25.12638
2020-07-01 08:02:30,24.81032
2020-07-01 08:07:30,24.4746
2020-07-01 08:12:30,24.15958
2020-07-01 08:17:30,23.92606
2020-07-01 08:22:30,23.70942
2020-07-01 08:27:30,23.5324
2020-07-01 08:32:30,23.34574
2020-07-01 08:37:30,23.21462
2020-07-01 08:42:30,23.20768
2020-07-01 08:47:30,22.96758
2020-07-01 08:52:30,23.03808
2020-07-01 08:57:30,22.8636
2020-07-01 09:02:30,22.79542
2020-07-01 09:07:30,22.98952
2020-07-01 09:12:30,23.27702
2020-07-01 09:17:30,23.52782
2020-07-01 09:22:30,23.53244
2020-07-01 09:27:30,23.32672
2020-07-01 09:32:30,23.2981
2020-07-01 09:37:30,23.40754
2020-07-01 09:42:30,23.37416
2020-07-01 09:47:30,23.32626
2020-07-01 09:52:30,23.44442
2020-07-01 09:57:30,23.37304
2020-07-01 10:02:30,23.30318
2020-07-01 10:07:30,23.2756
2020-07-01 10:12:30,23.30092
2020-07-01 10:17:30,23.32854
2020-07-01 10:22:30,23.06978
2020-07-01 10:27:30,22.89388
2020-07-01 10:32:30,23.06382
2020-07-01 10:37:30,23.27834
2020-07-01 10:42:30,23.05918
2020-07-01 10:47:30,22.96904
2020-07-01 10:52:30,23.0738
2020-07-01 10:57:30,22.88662
2020-07-01 11:02:30,22.82754
2020-07-01 11:07:30,22.93384
2020-07-01 11:12:30,22.88966
2020-07-01 11:17:30,22.86956
2020-07-01 11:22:30,22.71536
2020-07-01 11:27:30,22.78264
2020-07-01 11:32:30,22.93958
2020-07-01 11:37:30,22.94852
2020-07-01 11:42:30,22.9247
2020-07-01 11:47:30,22.77692
2020-07-01 11:52:30,22.57366
2020-07-01 11:57:30,22.48038
2020-07-01 12:02:30,22.31146
2020-07-01 12:07:30,22.27642
2020-07-01 12:12:30,22.43514
2020-07-01 12:17:30,22.55704
2020-07-01 12:22:30,22.52988
2020-07-01 12:27:30,22.49358
2020-07-01 12:32:30,22.45944
2020-07-01 12:37:30,22.53048
2020-07-01 12:42:30,22.30464
2020-07-01 12:47:30,22.25576
2020-07-01 12:52:30,22.23856
2020-07-01 12:57:30,22.28968
2020-07-01 13:02:30,22.21714
2020-07-01 13:07:30,22.18292
2020-07-01 13:12:30,22.2367
2020-07-01 13:17:30,22.39162
2020-07-01 13:22:30,22.33078
2020-07-01 13:27:30,22.4318
2020-07-01 13:32:30,22.53138
2020-07-01 13:37:30,22.49746
2020-07-01 13:42:30,22.58124
2020-07-01 13:47:30,22.63978
2020-07-01 13:52:30,22.68088
2020-07-01 13:57:30,22.73924
2020-07-01 14:02:30,22.94956
2020-07-01 14:07:30,23.1351
2020-07-01 14:12:30,23.30102
2020-07-01 14:17:30,23.54024
2020-07-01 14:22:30,23.70508
2020-07-01 14:27:30,23.88776
2020-07-01 14:32:30,24.12524
2020-07-01 14:37:30,24.31998
2020-07-01 14:42:30,24.50124
2020-07-01 14:47:30,24.82736
2020-07-01 14:52:30,25.17106
2020-07-01 14:57:30,25.50678
2020-07-01 15:02:30,25.7815
2020-07-01 15:07:30,25.99134
2020-07-01 15:12:30,25.96674
2020-07-01 15:17:30,26.02814
2020-07-01 15:22:30,26.10638
2020-07-01 15:27:30,26.61418
2020-07-01 15:32:30,26.20174
2020-07-01 15:37:30,26.40206
2020-07-01 15:42:30,26.54214
2020-07-01 15:47:30,26.6182
2020-07-01 15:52:30,26.4847
2020-07-01 15:57:30,26.59642
2020-07-01 16:02:30,27.14444
2020-07-01 16:07:30,26.81218
2020-07-01 16:12:30,26.72348
2020-07-01 16:17:30,26.81838
2020-07-01 16:22:30,26.98718
2020-07-01 16:27:30,26.76304
2020-07-01 16:32:30,27.19982
2020-07-01 16:37:30,27.08416
2020-07-01 16:42:30,26.82374
2020-07-01 16:47:30,27.50572
2020-07-01 16:52:30,27.16962
2020-07-01 16:57:30,27.42416
2020-07-01 17:02:30,27.41264
2020-07-01 17:07:30,27.5506
2020-07-01 17:12:30,27.29542
2020-07-01 17:17:30,27.4328
2020-07-01 17:22:30,27.68278
2020-07-01 17:27:30,27.65406
2020-07-01 17:32:30,27.73668
2020-07-01 17:37:30,27.8419
2020-07-01 17:42:30,27.82904
2020-07-01 17:47:30,28.12084
2020-07-01 17:52:30,28.23386
2020-07-01 17:57:30,27.98258
2020-07-01 18:02:30,28.39368
2020-07-01 18:07:30,28.5621
2020-07-01 18:12:30,28.3926
2020-07-01 18:17:30,28.4406
2020-07-01 18:22:30,29.09594
2020-07-01 18:27:30,28.93278
2020-07-01 18:32:30,28.73406
2020-07-01 18:37:30,28.91252
2020-07-01 18:42:30,28.95718
2020-07-01 18:47:30,29.10138
2020-07-01 18:52:30,29.65694
2020-07-01 18:57:30,28.84854
2020-07-01 19:02:30,29.50458
2020-07-01 19:07:30,29.98648
2020-07-01 19:12:30,29.69222
2020-07-01 19:17:30,29.87306
2020-07-01 19:22:30,29.5184
2020-07-01 19:27:30,29.59186
2020-07-01 19:32:30,29.93534
2020-07-01 19:37:30,30.20338
2020-07-01 19:42:30,29.73584
2020-07-01 19:47:30,30.08454
2020-07-01 19:52:30,29.9601
2020-07-01 19:57:30,29.83908
2020-07-01 20:02:30,29.5068
2020-07-01 20:07:30,30.1158
2020-07-01 20:12:30,29.86938
2020-07-01 20:17:30,30.5711
2020-07-01 20:22:30,30.20724
2020-07-01 20:27:30,30.15864
2020-07-01 20:32:30,30.10044
2020-07-01 20:37:30,30.52512
2020-07-01 20:42:30,30.61462
2020-07-01 20:47:30,30.2663
2020-07-01 20:52:30,30.1373
2020-07-01 20:57:30,30.97938
2020-07-01 21:02:30,30.78604
2020-07-01 21:07:30,30.70516
2020-07-01 21:12:30,30.48124
2020-07-01 21:17:30,31.13524
2020-07-01 21:22:30,31.31394
2020-07-01 21:27:30,31.16148
2020-07-01 21:32:30,31.44398
2020-07-01 21:37:30,30.94836
2020-07-01 21:42:30,30.77718
2020-07-01 21:47:30,30.54172
2020-07-01 21:52:30,31.00544
2020-07-01 21:57:30,31.25074
2020-07-01 22:02:30,31.0083
2020-07-01 22:07:30,31.59526
2020-07-01 22:12:30,30.72898
2020-07-01 22:17:30,30.98866
2020-07-01 22:22:30,31.31298
2020-07-01 22:27:30,31.54874
2020-07-01 22:32:30,30.99926
2020-07-01 22:37:30,30.8267
2020-07-01 22:42:30,31.1553
2020-07-01 22:47:30,30.95922
2020-07-01 22:52:30,31.2813
2020-07-01 22:57:30,31.38994
2020-07-01 23:02:30,31.59276
2020-07-01 23:07:30,31.76912
2020-07-01 23:12:30,31.63028
2020-07-01 23:17:30,31.54852
2020-07-01 23:22:30,31.34286
2020-07-01 23:27:30,31.4267
2020-07-01 23:32:30,31.62966
2020-07-01 23:37:30,31.69104
2020-07-01 23:42:30,31.45674
2020-07-01 23:47:30,32.03022
2020-07-01 23:52:30,31.54832
2020-07-01 23:57:30,31.48382
2020-07-02 00:02:30,31.73706
2020-07-02 00:07:30,32.01088
2020-07-02 00:12:30,31.51964
2020-07-02 00:17:30,31.39818
2020-07-02 00:22:30,31.44344
2020-07-02 00:27:30,31.4157
2020-07-02 00:32:30,31.4135
2020-07-02 00:37:30,31.4353
2020-07-02 00:42:30,31.8468
2020-07-02 00:47:30,31.88834
2020-07-02 00:52:30,31.3428
2020-07-02 00:57:30,31.3044
2020-07-02 01:02:30,31.70786
2020-07-02 01:07:30,31.33746
2020-07-02 01:12:30,31.34038
2020-07-02 01:17:30,31.20416
2020-07-02 01:22:30,31.23426
2020-07-02 01:27:30,31.44818
2020-07-02 01:32:30,31.19274
2020-07-02 01:37:30,31.24004
2020-07-02 01:42:30,31.35342
2020-07-02 01:47:30,31.24468
2020-07-02 01:52:30,30.98874
2020-07-02 01:57:30,30.98474
2020-07-02 02:02:30,30.9435
2020-07-02 02:07:30,30.84592
2020-07-02 02:12:30,30.83988
2020-07-02 02:17:30,30.87486
2020-07-02 02:22:30,30.81958
2020-07-02 02:27:30,30.74048
2020-07-02 02:32:30,30.57044
2020-07-02 02:37:30,30.23582
2020-07-02 02:42:30,29.96192
2020-07-02 02:47:30,29.81748
2020-07-02 02:52:30,29.69226
2020-07-02 02:57:30,29.50812
2020-07-02 03:02:30,29.31916
2020-07-02 03:07:30,29.13782
2020-07-02 03:12:30,28.9067
2020-07-02 03:17:30,28.676
2020-07-02 03:22:30,28.546
2020-07-02 03:27:30,28.37072
2020-07-02 03:32:30,28.23158
2020-07-02 03:37:30,28.06974
2020-07-02 03:42:30,27.92886
2020-07-02 03:47:30,27.83552
2020-07-02 03:52:30,27.71894
2020-07-02 03:57:30,27.5662
2020-07-02 04:02:30,27.4348
2020-07-02 04:07:30,27.32692
2020-07-02 04:12:30,27.19118
2020-07-02 04:17:30,26.97406
2020-07-02 04:22:30,26.85992
2020-07-02 04:27:30,26.64032
2020-07-02 04:32:30,26.56212
2020-07-02 04:37:30,26.52412
2020-07-02 04:42:30,26.50666
2020-07-02 04:47:30,26.58926
2020-07-02 04:52:30,26.72132
2020-07-02 04:57:30,26.69592
2020-07-02 05:02:30,26.64608
2020-07-02 05:07:30,26.59572
2020-07-02 05:12:30,26.47864
2020-07-02 05:17:30,26.38748
2020-07-02 05:22:30,26.27172
2020-07-02 05:27:30,26.31132
2020-07-02 05:32:30,26.31594
2020-07-02 05:37:30,26.3844
2020-07-02 05:42:30,26.27754
2020-07-02 05:47:30,26.33188
2020-07-02 05:52:30,26.42508
2020-07-02 05:57:30,26.36096
2020-07-02 06:02:30,26.09868
2020-07-02 06:07:30,25.60228
2020-07-02 06:12:30,25.46426
2020-07-02 06:17:30,24.7948
2020-07-02 06:22:30,24.49766
2020-07-02 06:27:30,25.06636
2020-07-02 06:32:30,24.53324
2020-07-02 06:37:30,24.82378
2020-07-02 06:42:30,25.03464
2020-07-02 06:47:30,24.99722
2020-07-02 06:52:30,24.7878
2020-07-02 06:57:30,25.01258
2020-07-02 07:02:30,24.98636
2020-07-02 07:07:30,24.90126
2020-07-02 07:12:30,24.72514
2020-07-02 07:17:30,24.66016
2020-07-02 07:22:30,24.62072
2020-07-02 07:27:30,24.4654
2020-07-02 07:32:30,25.31266
2020-07-02 07:37:30,25.55988
2020-07-02 07:42:30,25.14766
2020-07-02 07:47:30,25.3787
2020-07-02 07:52:30,25.90868
2020-07-02 07:57:30,25.9289
2020-07-02 08:02:30,25.32634
2020-07-02 08:07:30,24.18786
2020-07-02 08:12:30,24.77526
2020-07-02 08:17:30,24.47576
2020-07-02 08:22:30,24.6149
2020-07-02 08:27:30,24.88482
2020-07-02 08:32:30,24.94302
2020-07-02 08:37:30,25.1458
2020-07-02 08:42:30,24.98478
2020-07-02 08:47:30,23.77074
2020-07-02 08:52:30,23.16642
2020-07-02 08:57:30,23.31542
2020-07-02 09:02:30,23.2417
2020-07-02 09:07:30,23.02544
2020-07-02 09:12:30,23.12646
2020-07-02 09:17:30,23.10726
2020-07-02 09:22:30,23.04782
2020-07-02 09:27:30,22.9461
2020-07-02 09:32:30,22.94374
2020-07-02 09:37:30,22.85722
2020-07-02 09:42:30,22.87064
2020-07-02 09:47:30,22.88112
2020-07-02 09:52:30,22.85434
2020-07-02 09:57:30,22.79064
2020-07-02 10:02:30,22.77142
2020-07-02 10:07:30,22.63394
2020-07-02 10:12:30,22.67328
2020-07-02 10:17:30,22.67386
2020-07-02 10:22:30,22.60328
2020-07-02 10:27:30,22.70276
2020-07-02 10:32:30,22.74698
