"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"student",7.73191391648725,NA,0,4.6078,-0.001,2.5642,2.5642,5.0087,5.0087,10.0196,10.0196
"student",5.0508344716659,NA,0,8.7097,-0.0021,3.265,3.265,7.8419,7.8419,20.9366,20.9366
"student",66.311234934628,NA,0,3.0963,-0.0022,1.7981,1.7981,2.6492,2.6492,3.5804,3.5804
"student",6.65796545321355,NA,0,5.2574,1e-04,2.7538,2.7538,5.7146,5.7146,12.449,12.449
"student",10.7248771215413,NA,0,3.8922,-7e-04,2.277,2.277,4.029,4.029,7.0073,7.0073
"student",9.49066548298569,NA,0,4.0928,0.0013,2.3681,2.3681,4.3279,4.3279,7.8795,7.8795
"student",5.84077915054618,NA,0,6.2595,8e-04,2.9645,2.9645,6.5525,6.5525,15.5917,15.5917
"student",13.1268977998295,NA,0,3.6574,3e-04,2.1571,2.1571,3.6533,3.6533,5.973,5.973
"student",5.48331212626409,NA,0,7.045,5e-04,3.0852,3.0852,7.0572,7.0572,17.6124,17.6124
"student",5.27394443387771,NA,0,7.7098,0.0011,3.1669,3.1669,7.409,7.409,19.076,19.076
"student",6.49221916470323,NA,0,5.4075,-1e-04,2.7907,2.7907,5.8574,5.8574,12.9651,12.9651
"student",5.89945242866166,NA,0,6.1588,-6e-04,2.9467,2.9467,6.4794,6.4794,15.3066,15.3066
"student",9.19923920581792,NA,0,4.154,-5e-04,2.3941,2.3941,4.4153,4.4153,8.1424,8.1424
"student",6.60026225115871,NA,0,5.3075,7e-04,2.7664,2.7664,5.763,5.763,12.6231,12.6231
"student",5.30363695767433,NA,0,7.6025,0,3.1548,3.1548,7.3562,7.3562,18.8533,18.8533
"student",5.55593329211697,NA,0,6.8562,9e-04,3.0589,3.0589,6.9456,6.9456,17.1578,17.1578
"student",8.13541666160535,NA,0,4.4509,7e-04,2.5096,2.5096,4.8138,4.8138,9.3859,9.3859
"student",5.81357903924503,NA,0,6.3084,8e-04,2.973,2.973,6.5873,6.5873,15.7279,15.7279
"student",5.79285687702568,NA,0,6.3466,7e-04,2.9795,2.9795,6.6142,6.6142,15.8334,15.8334
"student",6.14695218449989,NA,0,5.7947,-5e-04,2.8765,2.8765,6.1958,6.1958,14.2204,14.2204
"student",5.18971777377895,NA,0,8.0432,-0.0015,3.2025,3.2025,7.5648,7.5648,19.7378,19.7378
"student",5.5004726765597,NA,0,6.9987,9e-04,3.0789,3.0789,7.0304,7.0304,17.5027,17.5027
"student",5.93465256330071,NA,0,6.1013,-0.001,2.9362,2.9362,6.4366,6.4366,15.1409,15.1409
"student",5.29065032153889,NA,0,7.6488,8e-04,3.1601,3.1601,7.3792,7.3792,18.95,18.95
"student",5.73552810013138,NA,0,6.4572,8e-04,2.9979,2.9979,6.6901,6.6901,16.1334,16.1334
"student",5.11204541972838,NA,0,8.3955,4e-04,3.2369,3.2369,7.7165,7.7165,20.3907,20.3907
"student",7.89268087228339,NA,0,4.5414,-6e-04,2.5416,2.5416,4.9275,4.9275,9.7535,9.7535
"student",5.0343633251969,NA,0,8.8007,-6e-04,3.2728,3.2728,7.8766,7.8766,21.0884,21.0884
