"models","Nsize.16","Nsize.32","Nsize.64","Nsize.128","Nsize.256","Nsize.512","Nsize.1024","Nsize.2048","Nsize.4096","Nsize.8192","Nsize.16384"
"Kimber",0.9532145,0.9635565,0.969545,0.972523758479457,0.973935504383158,0.974716327085466,0.975041681326766,0.975304851258947,0.975329340720663,0.975416229992378,0.97541759860131
"Hubert",0.9348925,0.9500755,0.9644425,0.974736116888519,0.981099628871257,0.985013713856192,0.986984331019703,0.988226330841002,0.988817861128827,0.989080165459858,0.989331645350302
"Schwertman",0.9641255,0.9730795,0.9780605,0.980558244272367,0.981838986914512,0.982442865596213,0.982768219837513,0.982964576143916,0.983057138871174,0.983011881510417,0.983078002929688
"Leys",0.9642525,0.970431,0.973265,0.974571127447843,0.975347733235219,0.975647909736438,0.975877306966479,0.976002823843303,0.975923748405612,0.975932299606199,0.976014168031754
"LogBox",0.988193,0.9948025,0.9974705,0.998691583738641,0.999296135142053,0.999591682926049,0.999759107919652,0.999852716800869,0.99991529815051,0.999949385480183,0.999971451297883
