"models","Nsize.16","Nsize.32","Nsize.64","Nsize.128","Nsize.256","Nsize.512","Nsize.1024","Nsize.2048","Nsize.4096","Nsize.8192","Nsize.16384"
"Kimber",0.946671,0.95805275,0.965199,0.968482267134903,0.970201971221526,0.970984498944473,0.971633458210722,0.971742095635225,0.971799515704719,0.971974690755208,0.971794620636971
"Hubert",0.92934175,0.94342875,0.95622325,0.965893932788302,0.971802663888533,0.974905742227482,0.976734672866556,0.977445699929703,0.978404516103316,0.978448387083969,0.978540482059602
"Schwertman",0.95993675,0.96949625,0.97484,0.977830668837194,0.979148003583312,0.979783307078429,0.980154140944857,0.980428059895833,0.980513592155612,0.98042533068153,0.980529292937248
"Leys",0.95196725,0.9575105,0.96040575,0.961851191523742,0.962581684316611,0.963046055367196,0.963222226442554,0.963314251421907,0.963189821827168,0.963346900009527,0.963212044008317
"LogBox",0.98495725,0.99238575,0.99605975,0.997912383607449,0.998829974644868,0.999315056854529,0.999574690538639,0.999712922577965,0.999811164700255,0.99987197503811,0.999913123346144
