"models","Nsize.16","Nsize.32","Nsize.64","Nsize.128","Nsize.256","Nsize.512","Nsize.1024","Nsize.2048","Nsize.4096","Nsize.8192","Nsize.16384"
"Kimber",0.9560615,0.9671625,0.9738165,0.97716296157046,0.978810568370873,0.979530670259724,0.979942485766377,0.980117517014954,0.980285893654337,0.980355611661585,0.980281214560232
"Hubert",0.9390245,0.95541675,0.9711085,0.982369128375784,0.989575251551702,0.993558385843142,0.995347334394191,0.996094998162705,0.996254434390944,0.996386272151296,0.996370869298135
"Schwertman",0.96697225,0.976475,0.982047,0.98460698515295,0.98583821906194,0.986460315778531,0.986772675841223,0.986911765880624,0.987058553890306,0.987070223180259,0.98714840796686
"Leys",0.967886,0.97474325,0.97783325,0.979270576683092,0.980006338782954,0.980480494738357,0.980669909880374,0.980790276712679,0.980826739875638,0.980903191295097,0.980857110792591
"Boxksigma",0.99044,0.99629975,0.99855925,0.999359291005376,0.999713554997441,0.999872307206372,0.999943025524565,0.999969295197469,0.999988042091837,0.99999404535061,0.999997046685988
