"models","Nsize.16","Nsize.32","Nsize.64","Nsize.128","Nsize.256","Nsize.512","Nsize.1024","Nsize.2048","Nsize.4096","Nsize.8192","Nsize.16384"
"Kimber",0.946671,0.95805275,0.965199,0.968482267134903,0.970201971221526,0.970984498944473,0.971633458210722,0.971742095635225,0.971799515704719,0.971974690755208,0.971794620636971
"Hubert",0.92934175,0.94342875,0.95622325,0.965893932788302,0.971802663888533,0.974905742227482,0.976734672866556,0.977445699929703,0.978404516103316,0.978448387083969,0.978540482059602
"Schwertman",0.95993675,0.96949625,0.97484,0.977830668837194,0.979148003583312,0.979783307078429,0.980154140944857,0.980428059895833,0.980513592155612,0.98042533068153,0.980529292937248
"Leys",0.95196725,0.9575105,0.96040575,0.961851191523742,0.962581684316611,0.963046055367196,0.963222226442554,0.963314251421907,0.963189821827168,0.963346900009527,0.963212044008317
"Box3sigma",0.994202,0.9962165,0.99713625,0.997647150582363,0.997858661137062,0.997978655562308,0.998011141008828,0.998086566574003,0.998092215401786,0.998094015974339,0.998095850790701
