"distribution","shape1","shape2","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
"student",6.49221916470323,NA,0,5.4075,-1e-04,2.7907,2.7907,5.8574,5.8574,12.9651,12.9651
"student",6.45196711876937,NA,0,5.447,0.0014,2.8001,2.8001,5.8939,5.8939,13.0982,13.0982
"student",6.40389375465382,NA,0,5.496,-5e-04,2.8115,2.8115,5.9384,5.9384,13.2614,13.2614
"student",6.35472175980865,NA,0,5.5481,0.0013,2.8234,2.8234,5.985,5.985,13.4333,13.4333
"student",6.31591067077059,NA,0,5.5908,-4e-04,2.8329,2.8329,6.0227,6.0227,13.5727,13.5727
"student",6.26852116420215,NA,0,5.6449,9e-04,2.8448,2.8448,6.0697,6.0697,13.7475,13.7475
"student",6.22097731959908,NA,0,5.7015,7e-04,2.857,2.857,6.118,6.118,13.9281,13.9281
"student",6.18214669281733,NA,0,5.7496,-2e-04,2.8672,2.8672,6.1584,6.1584,14.0797,14.0797
"student",6.14695218449989,NA,0,5.7947,-5e-04,2.8765,2.8765,6.1958,6.1958,14.2204,14.2204
"student",6.10702429181719,NA,0,5.8476,-3e-04,2.8873,2.8873,6.239,6.239,14.3838,14.3838
"student",6.06836468571019,NA,0,5.9008,6e-04,2.8979,2.8979,6.2817,6.2817,14.5462,14.5462
"student",6.02991035290598,NA,0,5.9558,4e-04,2.9087,2.9087,6.3251,6.3251,14.7119,14.7119
"student",5.99817814929411,NA,0,6.0027,-0.0016,2.9177,2.9177,6.3616,6.3616,14.8518,14.8518
"student",5.96094965254888,NA,0,6.0597,0.0013,2.9285,2.9285,6.4053,6.4053,15.0197,15.0197
"student",5.93465256330071,NA,0,6.1013,-0.001,2.9362,2.9362,6.4366,6.4366,15.1409,15.1409
"student",5.89945242866166,NA,0,6.1588,-6e-04,2.9467,2.9467,6.4794,6.4794,15.3066,15.3066
"student",5.88042135185746,NA,0,6.1908,7e-04,2.9524,2.9524,6.5028,6.5028,15.3978,15.3978
"student",5.84077915054618,NA,0,6.2595,8e-04,2.9645,2.9645,6.5525,6.5525,15.5917,15.5917
