"models","Nsize.16","Nsize.32","Nsize.64","Nsize.128","Nsize.256","Nsize.512","Nsize.1024","Nsize.2048","Nsize.4096","Nsize.8192","Nsize.16384"
"Kimber",0.931487975,0.935373525,0.940389225,0.943223108721042,0.944453264973125,0.94475102654011,0.945050492379414,0.945562781585506,0.945251240632972,0.944740903280615,0.94543705601846
"Hubert",0.921542075,0.933897775,0.946057,0.954548733881032,0.960002204576721,0.962990405298426,0.964827132444665,0.965813372715363,0.966398053850446,0.966649944026296,0.967060679774131
"Schwertman",0.940322125,0.946625025,0.95206035,0.955187817979649,0.957401228964039,0.957955885763178,0.958822922330796,0.958822563186989,0.958421232262436,0.957909808895452,0.958756674489667
"Leys",0.740900975,0.7140541,0.703372075,0.698548642886855,0.695829625711863,0.694349206555463,0.694674260931103,0.694276874440823,0.693315728635204,0.69402336802909,0.693550011419481
"Box3sigma",0.958424575,0.9638009,0.970506625,0.976786835642519,0.978877130590927,0.980409101722428,0.981276588088536,0.981324440423696,0.981247957190689,0.980647091749238,0.981118479082661
