"models","Nsize.16","Nsize.32","Nsize.64","Nsize.128","Nsize.256","Nsize.512","Nsize.1024","Nsize.2048","Nsize.4096","Nsize.8192","Nsize.16384"
"Kimber",0.931487975,0.935373525,0.940389225,0.943223108721042,0.944453264973125,0.94475102654011,0.945050492379414,0.945562781585506,0.945251240632972,0.944740903280615,0.94543705601846
"Hubert",0.921542075,0.933897775,0.946057,0.954548733881032,0.960002204576721,0.962990405298426,0.964827132444665,0.965813372715363,0.966398053850446,0.966649944026296,0.967060679774131
"Schwertman",0.940322125,0.946625025,0.95206035,0.955187817979649,0.957401228964039,0.957955885763178,0.958822922330796,0.958822563186989,0.958421232262436,0.957909808895452,0.958756674489667
"Leys",0.740900975,0.7140541,0.703372075,0.698548642886855,0.695829625711863,0.694349206555463,0.694674260931103,0.694276874440823,0.693315728635204,0.69402336802909,0.693550011419481
"Boxksigma",0.93765915,0.949923975,0.96489635,0.978650091394151,0.98705621020764,0.991661860486502,0.99582524529011,0.998457870015337,0.99932505082111,0.999769108469893,0.999844384962513
