"models","Nsize.16","Nsize.32","Nsize.64","Nsize.128","Nsize.256","Nsize.512","Nsize.1024","Nsize.2048","Nsize.4096","Nsize.8192","Nsize.16384"
"Kimber",0.96366355,0.97505485,0.983412225,0.988013292149302,0.98986299630471,0.991000781649821,0.991631199222748,0.992102849605381,0.992126763791454,0.992032083650915,0.992233670142389
"Hubert",0.980946075,0.994632025,0.9992073,0.99995605281262,1,1,1,1,1,1,1
"Schwertman",0.97359715,0.98408645,0.990492225,0.993827220057916,0.995138808348797,0.995996568537295,0.996326995506013,0.996862867858512,0.997735819913903,0.997716317525724,0.997704142908896
"Leys",0.977936425,0.9855706,0.988617775,0.990196327435044,0.991130752895444,0.991387458418628,0.991770486821904,0.991937468047035,0.99185245436065,0.991722367449505,0.99179938531691
"Boxksigma",0.99497825,0.9990939,0.9998934,0.999991050572763,1,1,1,1,1,1,1
