"time","temperature","bin.start","bin.end","index.bin","n.points","n.NA","n.imputed","n.outliers","sd.temperature"
2020-07-01 04:12:30,27.97812,2020-07-01 04:10:00,2020-07-01 04:15:00,51,5,0,0,0,0.0566077909832218
2020-07-01 04:17:30,27.9362,2020-07-01 04:15:00,2020-07-01 04:20:00,52,5,0,0,0,0.0365119158631817
2020-07-01 04:22:30,28.01994,2020-07-01 04:20:00,2020-07-01 04:25:00,53,5,0,0,0,0.0460080753781335
2020-07-01 04:27:30,27.85354,2020-07-01 04:25:00,2020-07-01 04:30:00,54,5,0,0,0,0.0567018341855003
2020-07-01 04:32:30,27.77388,2020-07-01 04:30:00,2020-07-01 04:35:00,55,5,0,0,0,0.0476691934062234
2020-07-01 04:37:30,27.57024,2020-07-01 04:35:00,2020-07-01 04:40:00,56,5,0,0,0,0.0619820377206165
2020-07-01 04:42:30,27.47174,2020-07-01 04:40:00,2020-07-01 04:45:00,57,5,0,0,0,0.0633068953590366
2020-07-01 04:47:30,27.38276,2020-07-01 04:45:00,2020-07-01 04:50:00,58,5,0,0,0,0.0143848183860619
2020-07-01 04:52:30,27.3012,2020-07-01 04:50:00,2020-07-01 04:55:00,59,5,0,0,0,0.0918769829717974
2020-07-01 04:57:30,27.22998,2020-07-01 04:55:00,2020-07-01 05:00:00,60,5,0,0,0,0.0390664434009546
2020-07-01 05:02:30,27.20048,2020-07-01 05:00:00,2020-07-01 05:05:00,61,5,0,0,0,0.0781584416426018
2020-07-01 05:07:30,27.39154,2020-07-01 05:05:00,2020-07-01 05:10:00,62,5,0,0,0,0.035557601156433
2020-07-01 05:12:30,27.31188,2020-07-01 05:10:00,2020-07-01 05:15:00,63,5,0,0,0,0.0352141590840955
2020-07-01 05:17:30,27.1811,2020-07-01 05:15:00,2020-07-01 05:20:00,64,5,0,0,0,0.037138053260772
2020-07-01 05:22:30,27.1886,2020-07-01 05:20:00,2020-07-01 05:25:00,65,5,0,0,0,0.0225542678888055
2020-07-01 05:27:30,27.05446,2020-07-01 05:25:00,2020-07-01 05:30:00,66,5,0,0,0,0.104841132195337
2020-07-01 05:32:30,26.92694,2020-07-01 05:30:00,2020-07-01 05:35:00,67,5,0,0,0,0.0265043958618182
2020-07-01 05:37:30,26.89508,2020-07-01 05:35:00,2020-07-01 05:40:00,68,5,0,0,0,0.0444151663286314
2020-07-01 05:42:30,26.83572,2020-07-01 05:40:00,2020-07-01 05:45:00,69,5,0,0,0,0.0748253767113811
2020-07-01 05:47:30,26.77606,2020-07-01 05:45:00,2020-07-01 05:50:00,70,5,0,0,0,0.0197712670307193
2020-07-01 05:52:30,26.65408,2020-07-01 05:50:00,2020-07-01 05:55:00,71,5,0,0,0,0.080414532268739
2020-07-01 05:57:30,26.39712,2020-07-01 05:55:00,2020-07-01 06:00:00,72,5,0,0,0,0.104408677800267
2020-07-01 06:02:30,26.1472,2020-07-01 06:00:00,2020-07-01 06:05:00,73,5,0,0,0,0.0598100744022282
2020-07-01 06:07:30,26.1284,2020-07-01 06:05:00,2020-07-01 06:10:00,74,5,0,0,0,0.0521751856728851
2020-07-01 06:12:30,26.17178,2020-07-01 06:10:00,2020-07-01 06:15:00,75,5,0,0,0,0.0160540337610207
2020-07-01 06:17:30,26.17272,2020-07-01 06:15:00,2020-07-01 06:20:00,76,5,0,0,0,0.0467258172748214
2020-07-01 06:22:30,26.01776,2020-07-01 06:20:00,2020-07-01 06:25:00,77,5,0,0,0,0.085088442223371
2020-07-01 06:27:30,25.90818,2020-07-01 06:25:00,2020-07-01 06:30:00,78,5,0,0,0,0.155562148352354
2020-07-01 06:32:30,25.89338,2020-07-01 06:30:00,2020-07-01 06:35:00,79,5,0,0,0,0.0420546905826216
2020-07-01 06:37:30,25.36962,2020-07-01 06:35:00,2020-07-01 06:40:00,80,5,0,0,0,0.298498219425175
2020-07-01 06:42:30,24.54694,2020-07-01 06:40:00,2020-07-01 06:45:00,81,5,0,0,0,0.326323218603887
2020-07-01 06:47:30,23.8989,2020-07-01 06:45:00,2020-07-01 06:50:00,82,5,0,0,0,0.114512357411766
2020-07-01 06:52:30,23.89424,2020-07-01 06:50:00,2020-07-01 06:55:00,83,5,0,0,0,0.116955901945991
2020-07-01 06:57:30,24.034,2020-07-01 06:55:00,2020-07-01 07:00:00,84,5,0,0,0,0.0605503922365492
2020-07-01 07:02:30,24.00084,2020-07-01 07:00:00,2020-07-01 07:05:00,85,5,0,0,0,0.0577627301986331
2020-07-01 07:07:30,24.10342,2020-07-01 07:05:00,2020-07-01 07:10:00,86,5,0,0,0,0.0418456927293594
2020-07-01 07:12:30,24.3396,2020-07-01 07:10:00,2020-07-01 07:15:00,87,5,0,0,0,0.2211271240712
2020-07-01 07:17:30,24.99136,2020-07-01 07:15:00,2020-07-01 07:20:00,88,5,0,0,0,0.149023699457503
2020-07-01 07:22:30,25.04876,2020-07-01 07:20:00,2020-07-01 07:25:00,89,5,0,0,0,0.0662037234602409
2020-07-01 07:27:30,25.34128,2020-07-01 07:25:00,2020-07-01 07:30:00,90,5,0,0,0,0.0756821114927427
2020-07-01 07:32:30,25.12424,2020-07-01 07:30:00,2020-07-01 07:35:00,91,5,0,0,0,0.0330595372018419
2020-07-01 07:37:30,24.95068,2020-07-01 07:35:00,2020-07-01 07:40:00,92,5,0,0,0,0.0496394198193336
2020-07-01 07:42:30,25.14706,2020-07-01 07:40:00,2020-07-01 07:45:00,93,5,0,0,0,0.109148811262423
2020-07-01 07:47:30,25.6134,2020-07-01 07:45:00,2020-07-01 07:50:00,94,5,0,0,0,0.271851126538037
2020-07-01 07:52:30,25.68844,2020-07-01 07:50:00,2020-07-01 07:55:00,95,5,0,0,0,0.172996020185438
2020-07-01 07:57:30,25.12638,2020-07-01 07:55:00,2020-07-01 08:00:00,96,5,0,0,0,0.153020299306987
2020-07-01 08:02:30,24.81032,2020-07-01 08:00:00,2020-07-01 08:05:00,97,5,0,0,0,0.0788419114430895
2020-07-01 08:07:30,24.4746,2020-07-01 08:05:00,2020-07-01 08:10:00,98,5,0,0,0,0.092913077658637
2020-07-01 08:12:30,24.15958,2020-07-01 08:10:00,2020-07-01 08:15:00,99,5,0,0,0,0.0953738538594309
2020-07-01 08:17:30,23.92606,2020-07-01 08:15:00,2020-07-01 08:20:00,100,5,0,0,0,0.0649619734921904
2020-07-01 08:22:30,23.70942,2020-07-01 08:20:00,2020-07-01 08:25:00,101,5,0,0,0,0.134194250994594
2020-07-01 08:27:30,23.5324,2020-07-01 08:25:00,2020-07-01 08:30:00,102,5,0,0,0,0.0707895472509888
2020-07-01 08:32:30,23.34574,2020-07-01 08:30:00,2020-07-01 08:35:00,103,5,0,0,0,0.054386376970708
2020-07-01 08:37:30,23.21462,2020-07-01 08:35:00,2020-07-01 08:40:00,104,5,0,0,0,0.0249438770041861
2020-07-01 08:42:30,23.20768,2020-07-01 08:40:00,2020-07-01 08:45:00,105,5,0,0,0,0.0775520599339569
2020-07-01 08:47:30,22.96758,2020-07-01 08:45:00,2020-07-01 08:50:00,106,5,0,0,0,0.0420670536168147
2020-07-01 08:52:30,23.03808,2020-07-01 08:50:00,2020-07-01 08:55:00,107,5,0,0,0,0.0740513132901773
2020-07-01 08:57:30,22.8636,2020-07-01 08:55:00,2020-07-01 09:00:00,108,5,0,0,0,0.0288606132990969
2020-07-01 09:02:30,22.79542,2020-07-01 09:00:00,2020-07-01 09:05:00,109,5,0,0,0,0.0542268568146814
2020-07-01 09:07:30,22.98952,2020-07-01 09:05:00,2020-07-01 09:10:00,110,5,0,0,0,0.132547753658824
2020-07-01 09:12:30,23.27702,2020-07-01 09:10:00,2020-07-01 09:15:00,111,5,0,0,0,0.121150390011753
2020-07-01 09:17:30,23.52782,2020-07-01 09:15:00,2020-07-01 09:20:00,112,5,0,0,0,0.112312853227046
2020-07-01 09:22:30,23.53244,2020-07-01 09:20:00,2020-07-01 09:25:00,113,5,0,0,0,0.109081909590913
2020-07-01 09:27:30,23.32672,2020-07-01 09:25:00,2020-07-01 09:30:00,114,5,0,0,0,0.0787543459118283
2020-07-01 09:32:30,23.2981,2020-07-01 09:30:00,2020-07-01 09:35:00,115,5,0,0,0,0.0972663610915925
2020-07-01 09:37:30,23.40754,2020-07-01 09:35:00,2020-07-01 09:40:00,116,5,0,0,0,0.0312839096022226
2020-07-01 09:42:30,23.37416,2020-07-01 09:40:00,2020-07-01 09:45:00,117,5,0,0,0,0.0212170450345933
2020-07-01 09:47:30,23.32626,2020-07-01 09:45:00,2020-07-01 09:50:00,118,5,0,0,0,0.0614257519286491
2020-07-01 09:52:30,23.44442,2020-07-01 09:50:00,2020-07-01 09:55:00,119,5,0,0,0,0.0352003835206386
2020-07-01 09:57:30,23.37304,2020-07-01 09:55:00,2020-07-01 10:00:00,120,5,0,0,0,0.0847653113012629
2020-07-01 10:02:30,23.30318,2020-07-01 10:00:00,2020-07-01 10:05:00,121,5,0,0,0,0.0507678244560473
2020-07-01 10:07:30,23.2756,2020-07-01 10:05:00,2020-07-01 10:10:00,122,5,0,0,0,0.03443334140045
2020-07-01 10:12:30,23.30092,2020-07-01 10:10:00,2020-07-01 10:15:00,123,5,0,0,0,0.0356181414450548
2020-07-01 10:17:30,23.32854,2020-07-01 10:15:00,2020-07-01 10:20:00,124,5,0,0,0,0.0946126999931825
2020-07-01 10:22:30,23.06978,2020-07-01 10:20:00,2020-07-01 10:25:00,125,5,0,0,0,0.0827763976022154
2020-07-01 10:27:30,22.89388,2020-07-01 10:25:00,2020-07-01 10:30:00,126,5,0,0,0,0.0241419137600981
2020-07-01 10:32:30,23.06382,2020-07-01 10:30:00,2020-07-01 10:35:00,127,5,0,0,0,0.123919518236636
2020-07-01 10:37:30,23.27834,2020-07-01 10:35:00,2020-07-01 10:40:00,128,5,0,0,0,0.0456698806654883
2020-07-01 10:42:30,23.05918,2020-07-01 10:40:00,2020-07-01 10:45:00,129,5,0,0,0,0.125262751845869
2020-07-01 10:47:30,22.96904,2020-07-01 10:45:00,2020-07-01 10:50:00,130,5,0,0,0,0.0509069052290551
2020-07-01 10:52:30,23.0738,2020-07-01 10:50:00,2020-07-01 10:55:00,131,5,0,0,0,0.0620124181112134
2020-07-01 10:57:30,22.88662,2020-07-01 10:55:00,2020-07-01 11:00:00,132,5,0,0,0,0.0536767361153788
2020-07-01 11:02:30,22.82754,2020-07-01 11:00:00,2020-07-01 11:05:00,133,5,0,0,0,0.0805426160488966
2020-07-01 11:07:30,22.93384,2020-07-01 11:05:00,2020-07-01 11:10:00,134,5,0,0,0,0.00983986788529184
2020-07-01 11:12:30,22.88966,2020-07-01 11:10:00,2020-07-01 11:15:00,135,5,0,0,0,0.036414049486428
2020-07-01 11:17:30,22.86956,2020-07-01 11:15:00,2020-07-01 11:20:00,136,5,0,0,0,0.0342243042295969
2020-07-01 11:22:30,22.71536,2020-07-01 11:20:00,2020-07-01 11:25:00,137,5,0,0,0,0.0439098849918789
2020-07-01 11:27:30,22.78264,2020-07-01 11:25:00,2020-07-01 11:30:00,138,5,0,0,0,0.035214954209824
2020-07-01 11:32:30,22.93958,2020-07-01 11:30:00,2020-07-01 11:35:00,139,5,0,0,0,0.0272337474468727
2020-07-01 11:37:30,22.94852,2020-07-01 11:35:00,2020-07-01 11:40:00,140,5,0,0,0,0.0347918381233297
2020-07-01 11:42:30,22.9247,2020-07-01 11:40:00,2020-07-01 11:45:00,141,5,0,0,0,0.0582542273144203
2020-07-01 11:47:30,22.77692,2020-07-01 11:45:00,2020-07-01 11:50:00,142,5,0,0,0,0.0902147826024088
2020-07-01 11:52:30,22.57366,2020-07-01 11:50:00,2020-07-01 11:55:00,143,5,0,0,0,0.0444809847013297
2020-07-01 11:57:30,22.48038,2020-07-01 11:55:00,2020-07-01 12:00:00,144,5,0,0,0,0.0362610948538504
2020-07-01 12:02:30,22.31146,2020-07-01 12:00:00,2020-07-01 12:05:00,145,5,0,0,0,0.123090629212788
2020-07-01 12:07:30,22.27642,2020-07-01 12:05:00,2020-07-01 12:10:00,146,5,0,0,0,0.0348427467344352
2020-07-01 12:12:30,22.43514,2020-07-01 12:10:00,2020-07-01 12:15:00,147,5,0,0,0,0.0788552978562627
2020-07-01 12:17:30,22.55704,2020-07-01 12:15:00,2020-07-01 12:20:00,148,5,0,0,0,0.0669903201962801
2020-07-01 12:22:30,22.52988,2020-07-01 12:20:00,2020-07-01 12:25:00,149,5,0,0,0,0.0602219395237312
2020-07-01 12:27:30,22.49358,2020-07-01 12:25:00,2020-07-01 12:30:00,150,5,0,0,0,0.0487176764634764
2020-07-01 12:32:30,22.45944,2020-07-01 12:30:00,2020-07-01 12:35:00,151,5,0,0,0,0.0674188994273868
2020-07-01 12:37:30,22.53048,2020-07-01 12:35:00,2020-07-01 12:40:00,152,5,0,0,0,0.0170584876234678
2020-07-01 12:42:30,22.30464,2020-07-01 12:40:00,2020-07-01 12:45:00,153,5,0,0,0,0.0825503967283016
2020-07-01 12:47:30,22.25576,2020-07-01 12:45:00,2020-07-01 12:50:00,154,5,0,0,0,0.0723027869449034
2020-07-01 12:52:30,22.23856,2020-07-01 12:50:00,2020-07-01 12:55:00,155,5,0,0,0,0.056702230996673
2020-07-01 12:57:30,22.28968,2020-07-01 12:55:00,2020-07-01 13:00:00,156,5,0,0,0,0.081084011987568
2020-07-01 13:02:30,22.21714,2020-07-01 13:00:00,2020-07-01 13:05:00,157,5,0,0,0,0.102598698822159
2020-07-01 13:07:30,22.18292,2020-07-01 13:05:00,2020-07-01 13:10:00,158,5,0,0,0,0.0175743278676603
2020-07-01 13:12:30,22.2367,2020-07-01 13:10:00,2020-07-01 13:15:00,159,5,0,0,0,0.0681084062359407
2020-07-01 13:17:30,22.39162,2020-07-01 13:15:00,2020-07-01 13:20:00,160,5,0,0,0,0.0355389504628367
2020-07-01 13:22:30,22.33078,2020-07-01 13:20:00,2020-07-01 13:25:00,161,5,0,0,0,0.0431845111122036
2020-07-01 13:27:30,22.4318,2020-07-01 13:25:00,2020-07-01 13:30:00,162,5,0,0,0,0.0594564967013697
2020-07-01 13:32:30,22.53138,2020-07-01 13:30:00,2020-07-01 13:35:00,163,5,0,0,0,0.0672892041861094
2020-07-01 13:37:30,22.49746,2020-07-01 13:35:00,2020-07-01 13:40:00,164,5,0,0,0,0.0249070873447701
2020-07-01 13:42:30,22.58124,2020-07-01 13:40:00,2020-07-01 13:45:00,165,5,0,0,0,0.0574373832969431
2020-07-01 13:47:30,22.63978,2020-07-01 13:45:00,2020-07-01 13:50:00,166,5,0,0,0,0.0130670195530571
2020-07-01 13:52:30,22.68088,2020-07-01 13:50:00,2020-07-01 13:55:00,167,5,0,0,0,0.0278098363893068
2020-07-01 13:57:30,22.73924,2020-07-01 13:55:00,2020-07-01 14:00:00,168,5,0,0,0,0.0553247955260573
2020-07-01 14:02:30,22.94956,2020-07-01 14:00:00,2020-07-01 14:05:00,169,5,0,0,0,0.116827021703029
2020-07-01 14:07:30,23.1351,2020-07-01 14:05:00,2020-07-01 14:10:00,170,5,0,0,0,0.0364444783197686
2020-07-01 14:12:30,23.30102,2020-07-01 14:10:00,2020-07-01 14:15:00,171,5,0,0,0,0.0932775803717054
2020-07-01 14:17:30,23.54024,2020-07-01 14:15:00,2020-07-01 14:20:00,172,5,0,0,0,0.0646570800454209
2020-07-01 14:22:30,23.70508,2020-07-01 14:20:00,2020-07-01 14:25:00,173,5,0,0,0,0.0401038277474856
2020-07-01 14:27:30,23.88776,2020-07-01 14:25:00,2020-07-01 14:30:00,174,5,0,0,0,0.0651426741852067
2020-07-01 14:32:30,24.12524,2020-07-01 14:30:00,2020-07-01 14:35:00,175,5,0,0,0,0.0815451899255869
2020-07-01 14:37:30,24.31998,2020-07-01 14:35:00,2020-07-01 14:40:00,176,5,0,0,0,0.0384598101919387
2020-07-01 14:42:30,24.50124,2020-07-01 14:40:00,2020-07-01 14:45:00,177,5,0,0,0,0.0673095312715811
2020-07-01 14:47:30,24.82736,2020-07-01 14:45:00,2020-07-01 14:50:00,178,5,0,0,0,0.116572522491366
2020-07-01 14:52:30,25.17106,2020-07-01 14:50:00,2020-07-01 14:55:00,179,5,0,0,0,0.131393238029969
2020-07-01 14:57:30,25.50678,2020-07-01 14:55:00,2020-07-01 15:00:00,180,5,0,0,0,0.157825907252263
2020-07-01 15:02:30,25.7815,2020-07-01 15:00:00,2020-07-01 15:05:00,181,5,0,0,0,0.0912470821451293
2020-07-01 15:07:30,25.99134,2020-07-01 15:05:00,2020-07-01 15:10:00,182,5,0,0,0,0.201994462795394
2020-07-01 15:12:30,25.96674,2020-07-01 15:10:00,2020-07-01 15:15:00,183,5,0,0,0,0.111232113168814
2020-07-01 15:17:30,26.02814,2020-07-01 15:15:00,2020-07-01 15:20:00,184,5,0,0,0,0.0930192345700601
2020-07-01 15:22:30,26.10638,2020-07-01 15:20:00,2020-07-01 15:25:00,185,5,0,0,0,0.151418796719562
2020-07-01 15:27:30,26.61418,2020-07-01 15:25:00,2020-07-01 15:30:00,186,5,0,0,0,0.10671366829043
2020-07-01 15:32:30,26.20174,2020-07-01 15:30:00,2020-07-01 15:35:00,187,5,0,0,0,0.223180012545927
2020-07-01 15:37:30,26.40206,2020-07-01 15:35:00,2020-07-01 15:40:00,188,5,0,0,0,0.166271052802345
2020-07-01 15:42:30,26.54214,2020-07-01 15:40:00,2020-07-01 15:45:00,189,5,0,0,0,0.256185729501079
2020-07-01 15:47:30,26.6182,2020-07-01 15:45:00,2020-07-01 15:50:00,190,5,0,0,0,0.147054088688482
2020-07-01 15:52:30,26.4847,2020-07-01 15:50:00,2020-07-01 15:55:00,191,5,0,0,0,0.121284788823662
2020-07-01 15:57:30,26.59642,2020-07-01 15:55:00,2020-07-01 16:00:00,192,5,0,0,0,0.217617375225417
2020-07-01 16:02:30,27.14444,2020-07-01 16:00:00,2020-07-01 16:05:00,193,5,0,0,0,0.311493327376365
2020-07-01 16:07:30,26.81218,2020-07-01 16:05:00,2020-07-01 16:10:00,194,5,0,0,0,0.22773618948248
2020-07-01 16:12:30,26.72348,2020-07-01 16:10:00,2020-07-01 16:15:00,195,5,0,0,0,0.142730014362783
2020-07-01 16:17:30,26.81838,2020-07-01 16:15:00,2020-07-01 16:20:00,196,5,0,0,0,0.372818651625694
2020-07-01 16:22:30,26.98718,2020-07-01 16:20:00,2020-07-01 16:25:00,197,5,0,0,0,0.293751360847911
