"time","temperature"
2020-07-01 00:00:30,30.9446
2020-07-01 00:01:30,31.1307
2020-07-01 00:02:30,31.544
2020-07-01 00:03:30,31.7404
2020-07-01 00:04:30,31.9553
2020-07-01 00:05:30,31.874
2020-07-01 00:06:30,31.3524
2020-07-01 00:07:30,31.3079
2020-07-01 00:08:30,30.9353
2020-07-01 00:09:30,30.8082
2020-07-01 00:10:30,31.0574
2020-07-01 00:11:30,31.2019
2020-07-01 00:12:30,31.0674
2020-07-01 00:13:30,31.0187
2020-07-01 00:14:30,31.1852
2020-07-01 00:15:30,31.4491
2020-07-01 00:16:30,31.2721
2020-07-01 00:17:30,31.3318
2020-07-01 00:18:30,31.7374
2020-07-01 00:19:30,31.4079
2020-07-01 00:20:30,31.1324
2020-07-01 00:21:30,31.2981
2020-07-01 00:22:30,31.0684
2020-07-01 00:23:30,31.1026
2020-07-01 00:24:30,31.6553
2020-07-01 00:25:30,31.2633
2020-07-01 00:26:30,31.1013
2020-07-01 00:27:30,30.8825
2020-07-01 00:28:30,30.8939
2020-07-01 00:29:30,30.893
2020-07-01 00:30:30,31.0101
2020-07-01 00:31:30,31.0041
2020-07-01 00:32:30,30.9398
2020-07-01 00:33:30,30.6329
2020-07-01 00:34:30,30.8834
2020-07-01 00:35:30,31.4297
2020-07-01 00:36:30,31.4084
2020-07-01 00:37:30,31.1154
2020-07-01 00:38:30,30.8158
2020-07-01 00:39:30,30.8339
2020-07-01 00:40:30,31.0178
2020-07-01 00:41:30,30.9573
2020-07-01 00:42:30,31.0964
2020-07-01 00:43:30,31.0828
2020-07-01 00:44:30,31.0336
2020-07-01 00:45:30,30.9044
2020-07-01 00:46:30,31.1819
2020-07-01 00:47:30,31.3385
2020-07-01 00:48:30,31.2939
2020-07-01 00:49:30,30.9722
2020-07-01 00:50:30,30.9959
2020-07-01 00:51:30,31.2255
2020-07-01 00:52:30,31.1233
2020-07-01 00:53:30,30.9866
2020-07-01 00:54:30,30.8497
2020-07-01 00:55:30,31.0124
2020-07-01 00:56:30,30.8662
2020-07-01 00:57:30,30.6104
2020-07-01 00:58:30,30.7421
2020-07-01 00:59:30,30.7995
2020-07-01 01:00:30,30.8012
2020-07-01 01:01:30,30.7395
2020-07-01 01:02:30,30.9046
2020-07-01 01:03:30,30.9747
2020-07-01 01:04:30,31.2268
2020-07-01 01:05:30,31.1384
2020-07-01 01:06:30,31.2026
2020-07-01 01:07:30,31.1975
2020-07-01 01:08:30,31.1638
2020-07-01 01:09:30,31.0156
2020-07-01 01:10:30,30.9551
2020-07-01 01:11:30,31.2825
2020-07-01 01:12:30,31.2653
2020-07-01 01:13:30,31.4505
2020-07-01 01:14:30,31.3902
2020-07-01 01:15:30,30.9918
2020-07-01 01:16:30,30.748
2020-07-01 01:17:30,30.9089
2020-07-01 01:18:30,31.133
2020-07-01 01:19:30,31.2107
2020-07-01 01:20:30,31.0558
2020-07-01 01:21:30,31.1926
2020-07-01 01:22:30,31.3835
2020-07-01 01:23:30,31.497
2020-07-01 01:24:30,31.2622
2020-07-01 01:25:30,30.9039
2020-07-01 01:26:30,30.766
2020-07-01 01:27:30,30.6178
2020-07-01 01:28:30,30.6948
2020-07-01 01:29:30,30.8359
2020-07-01 01:30:30,30.868
2020-07-01 01:31:30,30.8063
2020-07-01 01:32:30,30.8312
2020-07-01 01:33:30,30.7171
2020-07-01 01:34:30,30.8872
2020-07-01 01:35:30,30.9987
2020-07-01 01:36:30,31.0821
2020-07-01 01:37:30,31.1139
2020-07-01 01:38:30,31.0402
2020-07-01 01:39:30,30.9943
2020-07-01 01:40:30,30.9967
2020-07-01 01:41:30,30.9874
2020-07-01 01:42:30,30.8921
2020-07-01 01:43:30,30.9827
2020-07-01 01:44:30,31.1104
2020-07-01 01:45:30,31.0241
