"lambda3","lambda4","skewness","kurtosis","MC","alpha.minus.3sigma","alpha.plus.3sigma","alpha.minus.4sigma","alpha.plus.4sigma","alpha.minus.5sigma","alpha.plus.5sigma"
4.4,7.8,0.652914150881412,3.21450956327495,0.32894545464449,1.47423207474076,2.09693912132437,1.49123270986485,2.11397970740049,1.49163932522217,2.11438634484883
4.4,8.2,0.712454569987082,3.26027501020131,0.358057912438029,1.45910172968039,2.15465073877599,1.47656555867774,2.17216043979245,1.47698336518971,2.17257827167398
4.2,8.6,0.771659780745891,3.21325628755582,0.389547187103418,1.31956096359138,2.06484272998508,1.33590910606874,2.08124060340736,1.33630032624275,2.08163185108752
4.2,8.8,0.800054807353663,3.24354549791587,0.398855617705792,1.30842432677558,2.08453026606396,1.32492608556625,2.10108450735843,1.32532103510005,2.10147948592282
4.2,9.2,0.841507939402169,3.26472984248366,0.420675520189295,1.28455862397876,2.12007797605769,1.30133718399503,2.13691454474084,1.30173886670183,2.13731625954065
4,10,0.912214903743461,3.24636356132299,0.452664629552869,1.12234581549766,2.02434270109097,1.13798716340476,2.04004895967402,1.13836182290684,2.04042365509709
4,10.4,0.9433083505331,3.27008587995,0.466907288900813,1.09658372448825,2.0439905038824,1.11237253087666,2.0598492077782,1.11275082441481,2.06022754000379
3.8,11.4,0.989229884075294,3.2195191514444,0.489028504845417,0.93667017574572,1.92601591286164,0.951189486027135,1.9406115777503,0.951537597378836,1.94095973137822
3.8,11.8,1.00476115455274,3.22233808500406,0.498917532137319,0.913423681848438,1.93586681875162,0.928013229139506,1.95053713587468,0.928363118735006,1.95088707019888
3.8,12.8,1.05496717939502,3.2741349427949,0.518459762651655,0.857786327556737,1.95499436277544,0.872509874146318,1.9698096320105,0.872863215228913,1.97016302390954
3.6,15.2,1.09333727697574,3.22224520598943,0.535613492452915,0.671568829581997,1.82286673634417,0.684950385341046,1.83635580859831,0.685272040128852,1.83667752301027
3.6,17.2,1.13022740410629,3.25681062875758,0.555802014918072,0.600013219227602,1.83070039379692,0.6134337780342,1.84424743451106,0.61375680479099,1.84457053147096
3.4,37.2,1.17697128492894,3.22503689215791,0.583439181167295,0.261250209982427,1.68752913342194,0.273160581914764,1.69971984135638,0.273451134147506,1.70001055054148
5.6,6.2,0.139286991456564,3.32970996378131,0.0704126446500807,2.1215155197674,2.2600211924219,2.14248011705957,2.28099447570274,2.14298100046154,2.28149536390682
5,7,0.437206823465953,3.31392685072732,0.222751579502138,1.8490309259887,2.27967086098199,1.86882368850474,2.29949097106391,1.86929682974875,2.29996412742853
4.8,7.2,0.50812731009124,3.28335604324804,0.255438982965206,1.72873503527338,2.22183042560439,1.74759567107885,2.24072233731001,1.74804659085812,2.24117327438189
4.8,7.4,0.545440219873088,3.31795445656451,0.27657518326872,1.73067985785912,2.26820185131389,1.74993168308222,2.28748826317641,1.75039201747948,2.28794861669848
4.6,7.8,0.637005903686826,3.2975079866192,0.320905637910226,1.59820280487692,2.22451095864774,1.61665580264209,2.24300476587373,1.61709715511071,2.24344614091007
4.6,8,0.671160706733329,3.32788254761082,0.338371569573706,1.59252836452981,2.25882233255422,1.61126347947929,2.27760147257699,1.61171163994834,2.27804965739414
4.4,8.4,0.740795138909863,3.28209694821998,0.373971735676357,1.44991069410732,2.18087086305377,1.46758464266692,2.19859368126312,1.46800753310852,2.19901659873449
4.4,8.6,0.768773504087016,3.31559811843707,0.385714251043989,1.43979509897316,2.20544318422791,1.45766574713382,2.22336571909468,1.45809340171866,2.22379340238054
4.4,8.8,0.797424395474369,3.33646162742679,0.396803188334517,1.42886491152929,2.22845026706896,1.4469195161952,2.2465597914181,1.44735163120712,2.2469919368114
4.2,9.4,0.866138680301223,3.29695072402399,0.433303271395499,1.27198650888821,2.13608609256562,1.28888943500687,2.15304979778752,1.28929414961254,2.15345454602189
4.2,9.8,0.904408526164853,3.32270909411928,0.451450709207923,1.24590640867442,2.16492104502441,1.26303279113885,2.18211375358357,1.26344296661066,2.18252396575964
4.2,10,0.924500231387845,3.34862088617431,0.459361484217595,1.2325170871533,2.17787924106174,1.2497436067476,2.19517486051348,1.25015623609996,2.19558752810844
4,10.6,0.960356379012936,3.28521597339011,0.476702811547883,1.08365240385461,2.05279531648621,1.09950703709178,2.06872233552776,1.09988695900538,2.06910229750956
4,11.2,1.0000619723879,3.32338996517541,0.492661461723468,1.04500638646314,2.07566886814236,1.06103105197292,2.09177335835212,1.06141520358754,2.09215755416428
4,11.6,1.02759636466616,3.34733235566644,0.50527968249329,1.019592563143,2.0883596270669,1.03571075848617,2.10456258174346,1.03609725637202,2.10494912656732
3.8,13.2,1.07097509022271,3.29237031591432,0.525326221486285,0.83664967708873,1.9608853681606,0.851413518779485,1.97574528046285,0.851767922324836,1.97609973724287
3.8,14.6,1.1174838356809,3.33577934563316,0.547746512811963,0.768039834593114,1.97588724595108,0.782902280131924,1.99086084501844,0.783259387077278,1.99121801359405
3.6,18.6,1.15032427500539,3.28242264029068,0.562490580934713,0.557499635233845,1.83367454332989,0.570929043454564,1.84724359251973,0.571252587762126,1.84756721438183
3.6,21.8,1.18294795513374,3.31549734526852,0.581991212823284,0.478716275640313,1.83686390299463,0.492139443574735,1.85045655319827,0.492463534061088,1.85078073794463
3.6,23.4,1.19483029553483,3.33234032669628,0.587173324428835,0.446865060984268,1.83754179861545,0.460278409982443,1.85113946519403,0.460602611786648,1.85146376958094
3.6,28.2,1.21263910445185,3.34611149841139,0.597784501665301,0.372313598938289,1.83830792516516,0.385688330867465,1.85191126102071,0.386012642968728,1.85223570061989
5.6,6.4,0.186318630588694,3.37742679238776,0.0943133575316788,2.15745603343016,2.34628582312541,2.17921906038719,2.36806087304878,2.17973908989724,2.36858090920639
5.2,7.2,0.447022785212549,3.41597654538563,0.226958345863089,1.98855160165609,2.44687256458537,2.01026962502982,2.46862059438728,2.01078885918539,2.46913984513648
5,7.4,0.518995747893477,3.37537549106537,0.263194287907026,1.86156517631786,2.38713474744276,1.88228579595552,2.4078897258789,1.88278125100154,2.40838519992541
4.8,7.8,0.620160228220637,3.37433035757087,0.312177593235005,1.72832801422039,2.35381147749858,1.74830123266829,2.37382610298148,1.74877894525356,2.37430383846695
4.8,8,0.653152084031852,3.40686159327572,0.328345227553931,1.72435408414857,2.39315882078082,1.7446584695875,2.41350810820186,1.74514416839034,2.41399383183997
4.6,8.4,0.736545981225908,3.38251192681393,0.368899604486075,1.57711880656594,2.32148842570633,1.59636847751318,2.34078865739473,1.5968290707881,2.34124927863722
4.6,8.6,0.766554675331138,3.40220688592143,0.382208310430755,1.56765314357074,2.35000602611305,1.58713662554745,2.36954337895454,1.5876028761457,2.37000965935397
4.4,9,0.822410201394824,3.35508154646662,0.412116441516284,1.41722243406077,2.24997409885265,1.43544892335846,2.26825855358234,1.43588521102522,2.2686948733182
4.4,9.4,0.875310046546364,3.40392189218163,0.43436310266049,1.39217221756908,2.28889307814201,1.41070888571189,2.30749383057972,1.41115271776121,2.3079376980896
4.2,10.2,0.942012759901018,3.36069152801414,0.467903216779442,1.21896467787838,2.18994704983386,1.23628426411136,2.20733850831526,1.23669917861251,2.20775346259685
4.2,10.6,0.980094792793621,3.40017911631727,0.484974364550312,1.1915493915927,2.21164022755877,1.20903572050917,2.22920396571274,1.2094547424725,2.22962303052869
4,11.8,1.03991552774222,3.36683392577611,0.511460924219624,1.00704462466503,2.09404225152794,1.02320445062605,2.11028929619833,1.02359199897602,2.1106768928525
4,12.4,1.06928447211525,3.38514610746791,0.523863370276845,0.97019259985363,2.10879773986796,0.986459564110072,2.12515926831584,0.986849839553533,2.12554959614543
4,12.8,1.09287454402338,3.41506812407134,0.533935318287107,0.946379081518403,2.11698398535353,0.962704690759557,2.13340902854066,0.963096478731225,2.13380087160585
3.8,15.4,1.1475702750113,3.37774124524024,0.559479055607874,0.732552332293309,1.98160425238558,0.747449566242747,1.99662117587615,0.747807701858993,1.99697937787882
3.8,17.4,1.17967459481293,3.39950473112015,0.576944449556992,0.654717646362152,1.99042769374429,0.669660611377186,2.00551148272998,0.670020330160053,2.00587127969012
3.6,25.8,1.21153970791755,3.35840754097714,0.595284720082546,0.406211004420688,1.83806958034666,0.419606080311557,1.85167115246906,0.419930362798605,1.8519955500032
3.6,28.4,1.21895568684021,3.36572369733525,0.601922912564782,0.369743200009296,1.83832056201512,0.38311618593735,1.85192399138237,0.383440499231687,1.85224843321181
3.6,37.2,1.24212029055964,3.40367885350825,0.612052123468268,0.283836767683798,1.83849843885978,0.297130496248045,1.85210318450187,0.297454795325638,1.85242765772446
5.6,6.8,0.28177265205134,3.46589994198106,0.144077855478331,2.21773789140071,2.51194269648606,2.24103269608043,2.53525680681376,2.24158947771463,2.53581359912403
5.4,7.2,0.414974304155746,3.48629947165732,0.209721635568143,2.12417603563765,2.55789405774309,2.14738271112299,2.58112958751421,2.14793753594944,2.58168442829855
5.2,7.6,0.52879632807856,3.4859286225302,0.268545049824272,2.00283214276887,2.56216240118826,2.02556763206285,2.58493558873954,2.02611133838197,2.58547931590955
5,7.6,0.556844330730827,3.4217696957083,0.278777983631384,1.86409697731602,2.43702402045784,1.88524789593288,2.45821293591023,1.88575370814385,2.45871876913539
5,7.8,0.596445376951086,3.45510606974765,0.299773387461665,1.86436094476974,2.48438927554138,1.88592010068025,2.50599014292131,1.88643574517355,2.50650581048521
4.8,8.2,0.690425505155659,3.43820988032645,0.346028828263868,1.71872405423185,2.43029015098194,1.73934069541688,2.45095523654364,1.73983393014471,2.45144849806838
4.8,8.4,0.721410121557507,3.45706248631125,0.363507857665332,1.71158848785934,2.46528136950538,1.73249913020894,2.48624403987207,1.73299946609867,2.48674440454353
4.6,8.8,0.79262867547188,3.42268407193836,0.396915243583878,1.55718100185332,2.37675907329759,1.57688359447772,2.39651886919863,1.57735515207782,2.39699045844618
4.6,9,0.821091846553073,3.45431367577602,0.410824213620389,1.54581842061042,2.40183303051369,1.56572613992351,2.42180130388843,1.56620267121092,2.42227786868003
4.6,9.2,0.84463072714633,3.46567383293198,0.423102379796303,1.53367369750632,2.42531315531346,1.55377327338348,2.44547665088255,1.55425446199783,2.44595787486638
4.4,9.6,0.895080815484914,3.42417009612526,0.445573248177217,1.3789321242919,2.30644377351153,1.39760835721093,2.32518715911994,1.39805559119725,2.32563443026796
4.4,10,0.93475499807707,3.45541190824445,0.463236983755738,1.35138963680385,2.33809759553169,1.37031696964109,2.35709822599976,1.37077033882275,2.35755163575081
4.4,10.4,0.972978252182132,3.48829756498596,0.48101840150201,1.32284730422569,2.36561426214378,1.34199211175439,2.38483851282118,1.34245081374892,2.38529725879428
4.2,11.2,1.02337892566938,3.43818688009102,0.505278175544663,1.15020467190637,2.2388511701607,1.16789882325912,2.25663100645406,1.16832299665672,2.25705522729809
4.2,11.4,1.04293365486554,3.46528248888901,0.509628095394563,1.1364846731295,2.24668707627412,1.15423830511923,2.26452914185886,1.15466396176023,2.2649548474726
4.2,11.8,1.06532250760353,3.48354579453241,0.521075737926298,1.10927843901588,2.26075388504975,1.12713830260124,2.27870766277702,1.12756662161179,2.27913603380447
4,13.2,1.10934040839788,3.43266349707291,0.542104008702184,0.923230976996949,2.1240595468222,0.939606635040538,2.14053948723271,0.939999729968032,2.14093263995024
4,13.6,1.12562572665535,3.44800914025179,0.549722079761398,0.900780769333284,2.13017699742133,0.917199063074217,2.14670440133157,0.917593287625836,2.14709868635925
4,14.6,1.16007724109903,3.48219795941731,0.564018101347612,0.847802487265719,2.14209895960823,0.864301294476545,2.15871886248034,0.864697719051538,2.15911535420401
3.8,18,1.19590867693078,3.42768173337448,0.583867945236151,0.634106858340462,1.99206848147395,0.649055963114655,2.00716470461946,0.649415974976522,2.00752479817437
3.8,21.6,1.23668844980376,3.476263885314,0.603232976084725,0.531778642162036,1.99712244360755,0.546728579604688,2.01225696651083,0.547089484072348,2.01261797363834
3.8,22.6,1.2442670389637,3.48413519698869,0.607177388228015,0.508679883526086,1.99772541347777,0.523624048979479,2.01286450578606,0.52398505664317,2.01322562190861
5.6,7,0.329312168237801,3.50075278183118,0.166303415029165,2.24220764475699,2.59096857617336,2.26623251891863,2.61501668059548,2.26680682777717,2.61559100230154
5.6,7.2,0.376045097596238,3.54676970851942,0.190020886695369,2.26302589232494,2.66726993822387,2.287755261311,2.69202663589888,2.28834649066932,2.69261788037269
5.4,7.6,0.498493057961354,3.55494132260762,0.251834325850093,2.14633830583821,2.68709588442251,2.17071093818396,2.711505558538,2.17129379584973,2.71208843669337
5.2,7.8,0.569044465605543,3.52068772058308,0.288895055197185,2.00601987093868,2.61576940679958,2.02922798495394,2.63901921157194,2.02978306866137,2.63957431834054
5.2,8,0.612407377729579,3.55610585769374,0.308896411384058,2.00679970607524,2.66671706739396,2.03045668985376,2.69041981947913,2.031022585765,2.69098574070925
5,8.2,0.670620017860936,3.51731436980781,0.339694604760291,1.85875193081249,2.57174667064,1.88106317441936,2.59410725220537,1.8815969509967,2.59464105607632
5,8.4,0.705881800576823,3.54449179673391,0.355444037402032,1.8532054822058,2.61186597025549,1.87586170970699,2.63457543245399,1.87640381279285,2.63511756499169
4.8,8.6,0.753609368399973,3.49057374519246,0.37636017667568,1.70309170137142,2.49821360638204,1.72427878972098,2.51945634190762,1.72478580857059,2.51996339154377
4.8,9,0.815842031677663,3.54001765800909,0.408265112827332,1.68255664713721,2.55824278602306,1.70424689854523,2.57999600890252,1.70476609832222,2.5805152435243
4.6,9.4,0.874150622601077,3.49817539890215,0.434687792936412,1.52084744224621,2.4472837392698,1.54112630963073,2.46762990365896,1.54161185596516,2.46811548723497
4.6,9.6,0.89698326705391,3.52017337632006,0.44434516451639,1.50743272520558,2.46782748586368,1.5278790102849,2.48834445412158,1.52836863116409,2.48883411411964
4.6,9.8,0.917937118789325,3.5386007245413,0.458574709519875,1.49351530051165,2.48702501148146,1.51411780283799,2.50770158951782,1.5146112310988,2.50819505877867
4.4,10.6,0.993918796964991,3.51075104580707,0.490647612904824,1.30833592928002,2.37798187302083,1.32757817439281,2.39730663115239,1.32803927308113,2.39776777552274
4.4,11.2,1.04338743181822,3.55795435137223,0.512373628074545,1.26436638264952,2.41021719335906,1.28386140490722,2.42980391580741,1.28432874971871,2.43027131140062
4.2,12,1.07776422224537,3.49568975093002,0.526815533560466,1.09582955781245,2.26705799615811,1.11373675417512,2.28506183817042,1.11416626618486,2.28549140371468
4.2,12.8,1.11981966060901,3.5398162640374,0.546612668611211,1.04339273209811,2.28815930551931,1.06145663936257,2.30633072396504,1.06189014364938,2.30676428782598
4,15,1.17550354799285,3.50513859312264,0.571784015195222,0.827872835676301,2.14578681150673,0.844395492450876,2.16243532731961,0.844792596975204,2.1628325016462
4,15.4,1.18432000156223,3.50942333275978,0.574560990681786,0.808651517208045,2.14898146726455,0.825194212942782,2.16565476945527,0.825591906136199,2.1660525350966
4,17,1.2221182457917,3.55002534758116,0.593812246649845,0.738508182736075,2.1580421331776,0.755102326198079,2.17478573435869,0.755501685960118,2.1751851770837
3.8,24.8,1.2611448611866,3.5077781524179,0.615435658248853,0.464113843552301,1.9985136077072,0.479041300298587,2.01365867308122,0.47940243770216,2.01401993168063
3.8,31.6,1.28738468310636,3.54383541308581,0.63120936354825,0.364749444007997,1.99917120234254,0.379612201820082,2.01432125107704,0.37997341880722,2.01468262854565
3.8,37.4,1.29650402695563,3.55687251942246,0.640058912839819,0.308342643660837,1.99924023068258,0.323146873721964,2.01439080252521,0.323508069710349,2.01475219247163
6.2,6.6,0.0962151876956001,3.58379613624321,0.0485361289906581,2.56316752662021,2.67073760252988,2.58956406995599,2.69714143562062,2.59019490283252,2.69777227252912
5.6,7.4,0.414703600162056,3.56917328459719,0.215032077728667,2.28031692328528,2.7407438300372,2.30572429473138,2.7661827907016,2.30633181567472,2.76679032911847
5.6,7.6,0.46378945302254,3.61815617141709,0.235593568714001,2.2942225424956,2.81131654582744,2.32028077190067,2.83741077522351,2.32090393966317,2.8380339629011
5.4,7.8,0.537153493672384,3.58847522361996,0.273912854542959,2.15298528807462,2.7474570032869,2.17790212900047,2.77241515768402,2.17849808145182,2.77301113298985
5.2,8.2,0.647340711630835,3.58963777165239,0.32729637072067,2.00534331762921,2.71504954984949,2.02942582561752,2.73918197975603,2.03000197811329,2.73975815987088
5.2,8.4,0.684982057395752,3.62085881408064,0.344806686451941,2.00182094700703,2.76082395940637,2.02630615570761,2.7853633111848,2.02689202143453,2.78594920686877
5,8.6,0.744710869558148,3.57801890572829,0.371882654765868,1.84604138098207,2.64971142434188,1.86902276253583,2.67274998373814,1.86957271982329,2.67329997266177
5,8.8,0.769132903828303,3.59066751428873,0.385029831330943,1.83741015617137,2.6853652861482,1.86069758657927,2.70871387763687,1.86125494291329,2.70927126781392
4.8,9.2,0.842321510984528,3.56120334661674,0.420711030280705,1.67077070885682,2.58551526841215,1.69268918295971,2.60750040996015,1.69321391642906,2.60802518032267
4.8,9.6,0.895377216507275,3.62386517325784,0.443055377279712,1.64473461873909,2.63501797644899,1.66706660463913,2.6574240696688,1.66760138181396,2.65795888786117
4.6,10,0.945563838963922,3.57432534784747,0.466230194377813,1.47917388561232,2.50495445489013,1.49992205705272,2.52578009871922,1.50041904104873,2.52627712559906
4.6,10.4,0.985877934656121,3.60673580207443,0.484756438732189,1.44950072335098,2.53730756787866,1.47051107891324,2.55840219411262,1.47101447869869,2.5589056405532
4.6,10.6,1.00435377322677,3.62455937514229,0.494910348985464,1.43429424222623,2.55187285921157,1.4554222938409,2.57308857993848,1.45592858179377,2.57359491643223
4.4,11.8,1.0867082627513,3.6065299189759,0.530668241468652,1.22046157694628,2.43622212566305,1.24015878975257,2.45602017934924,1.24063117245923,2.45649261791427
4.4,12,1.10367803483015,3.62580663835825,0.538638307992414,1.20596690255154,2.44371655924761,1.22572198468478,2.46357551694766,1.22619581905052,2.46404940885782
4.2,13.4,1.15206274661209,3.5768335127694,0.558161000576345,1.00576156400085,2.30041851044185,1.02391474204379,2.31868728546954,1.02435056472814,2.3191231722254
4.2,13.6,1.16173168070462,3.5813580669327,0.562286040407756,0.993575164963762,2.30394789207365,1.01175368805504,2.32224469570563,1.0121901779992,2.32268125121445
4.2,14.2,1.18854563396107,3.61821319854758,0.573190130667674,0.958135321984593,2.3131278025245,0.976378730240669,2.33149750845194,0.976816955146344,2.33193580338472
4,17.8,1.24042709895737,3.57737122001268,0.601202305180803,0.707186000854728,2.16097663333393,0.723793556135672,2.17774300242118,0.724193453834485,2.17814298830739
4,18.8,1.25782797132939,3.60004237064907,0.608403974804851,0.671182415770883,2.16365855990928,0.687799136214807,2.18044573725993,0.688199523817948,2.18084621955723
3.8,35,1.2960672807526,3.56114094341236,0.635225554434907,0.329421430252741,1.99922543412345,0.344249944029332,2.01437589383533,0.344611151193954,2.01473728110707
3.8,39.8,1.30132893599179,3.56488680850684,0.640658086396071,0.289804723289125,1.99924714769778,0.304584663493993,2.0143977719587,0.304945846883124,2.01475916315547
6.2,7,0.194370727104237,3.67386264296822,0.0994812148031388,2.65486218138992,2.87985436394972,2.68331927779633,2.90832717947379,2.68399953786532,2.90900744823854
5.8,7.4,0.377935192774467,3.6554094569179,0.191995140414516,2.42719416030434,2.85589279018519,2.45424271930621,2.88297123958105,2.45488948302656,2.88361801983668
5.6,7.8,0.504962021368426,3.6659355049969,0.257466378157188,2.30489855633892,2.8789415445601,2.33158009452089,2.90566363190495,2.33221825439568,2.90630181421338
5.4,8.2,0.620875676693362,3.6643362075625,0.313147499105819,2.15826365444941,2.85972786496931,2.18419173804146,2.8857061085727,2.18481204428529,2.88632644256976
5.2,8.6,0.716986837927312,3.65513497141746,0.363501684812912,1.99639970558355,2.80410812697366,2.02126540694916,2.82903225211717,2.02186045706144,2.82962733455782
5.2,8.8,0.759109105531082,3.69305461337003,0.376953049936814,1.98924217090257,2.84497855468486,2.01446684779004,2.87026598810958,2.01507056976325,2.87086974481171
5,9.2,0.831922188176159,3.65770044822713,0.415860116965591,1.81631420117183,2.75044769258879,1.8401594838872,2.7743622003827,1.84073034561179,2.77493310041921
5,9.4,0.862075519579938,3.68604165682869,0.429840229959826,1.80411480679758,2.78005708642232,1.82821347873941,2.80422905403582,1.82879048442737,2.80480610029209
4.8,10,0.945036085717656,3.65908776272845,0.467944825010149,1.61608600296748,2.67837656623175,1.63877920518751,2.70115135777919,1.63932277879129,2.70169497654965
4.8,10.2,0.967298402650473,3.68644500473298,0.477536127075406,1.6010062750497,2.69796190297005,1.62386226913936,2.72090323633512,1.62440981590288,2.72145083034539
4.6,10.8,1.02401880507732,3.64029313107185,0.504342441905968,1.41891504299313,2.56545308113914,1.44015260278071,2.58678170625589,1.44066158343608,2.587290737337
4.6,11,1.04480585524609,3.67006499737731,0.510191825291768,1.40341187714194,2.5781110039839,1.42475128027727,2.59954486535884,1.42526277062825,2.60005640801892
4.6,11.2,1.06011601077628,3.68070996951907,0.518153509088962,1.38782861323723,2.58990614610495,1.40926269072021,2.61143807051352,1.40977651957193,2.61195195355568
4.4,12.2,1.11927410645989,3.64653707660543,0.543283671821888,1.19157708884431,2.45069017433611,1.21138581430073,2.47060580354612,1.21186099932914,2.47108104780168
