"distribution","shape1","shape2","skewness","kurtosis","m.star.sample","kurtosis.sample","skewness.sample","A","B","m.star","r2","alpha.100","alpha.1000","alpha.10000","alpha.100000","alpha.1000000"
"inverse gamma",17.0055761250723,NA,1.1063,5.4385,0.1665,5.3637,1.0997,0.4361,3.6516,0.167226668444229,0.998697,5.7199,6.6352,7.6065,8.6391,9.7382
"inverse gamma",16.8348997613904,NA,1.1136,5.4725,0.1672,5.4445,1.1113,0.4405,3.6602,0.168196928664918,0.998664,5.7504,6.674,7.6548,8.6983,9.8099
"inverse gamma",16.6557127502072,NA,1.1214,5.5093,0.1708,5.386,1.1078,0.4454,3.6692,0.169233213303998,0.998628,5.7832,6.7157,7.7068,8.7622,9.8873
"inverse gamma",16.5613892764512,NA,1.1255,5.5292,0.172,5.4735,1.1209,0.4479,3.674,0.169786146361589,0.998608,5.8008,6.738,7.7347,8.7964,9.9288
"inverse gamma",16.4207125629159,NA,1.1318,5.5593,0.1724,5.5673,1.137,0.4519,3.6811,0.17062055225923,0.998579,5.8274,6.7719,7.7771,8.8485,9.992
"inverse gamma",16.2381241421839,NA,1.1401,5.5995,0.1701,5.5547,1.1397,0.4572,3.6905,0.171721356377812,0.99854,5.8627,6.817,7.8333,8.9176,10.0759
"inverse gamma",16.0076350971428,NA,1.1509,5.6521,0.1742,5.6326,1.1483,0.4641,3.7025,0.173140563898775,0.998487,5.9087,6.8755,7.9065,9.0078,10.1854
"inverse gamma",15.9572217994405,NA,1.1533,5.6639,0.1784,5.6988,1.1559,0.4656,3.7051,0.173455498122199,0.998477,5.9189,6.8886,7.9229,9.0279,10.2099
"inverse gamma",15.7777093654762,NA,1.162,5.7067,0.1762,5.6949,1.1613,0.4712,3.7145,0.174590444176432,0.998432,5.956,6.9359,7.9821,9.1009,10.2988
"inverse gamma",15.5653462281125,NA,1.1725,5.7591,0.1754,5.7582,1.1706,0.4781,3.7258,0.175961052283691,0.998382,6.0011,6.9936,8.0544,9.19,10.4072
"inverse gamma",15.5600674915453,NA,1.1727,5.7604,0.1749,5.7687,1.1707,0.4783,3.7261,0.175995516674708,0.998379,6.0023,6.9951,8.0562,9.1923,10.41
"inverse gamma",15.3828949184271,NA,1.1817,5.8058,0.1783,5.7302,1.1771,0.4842,3.7355,0.177163632974101,0.998334,6.041,7.0446,8.1184,9.269,10.5035
"inverse gamma",15.1715018297741,NA,1.1927,5.8619,0.1779,5.8478,1.195,0.4916,3.7469,0.17858694622681,0.998278,6.0886,7.1056,8.1949,9.3636,10.6189
"inverse gamma",15.1332388194455,NA,1.1947,5.8723,0.1759,5.9263,1.1995,0.4929,3.749,0.178848099418602,0.998269,6.0974,7.1169,8.2091,9.3811,10.6402
"inverse gamma",15.0098594097514,NA,1.2013,5.9063,0.1816,5.9642,1.2087,0.4974,3.7557,0.179697721022537,0.998233,6.1261,7.1536,8.2552,9.4382,10.7099
"inverse gamma",14.8817242489636,NA,1.2083,5.9425,0.182,5.8196,1.2023,0.5021,3.7627,0.180592476512938,0.998198,6.1564,7.1925,8.3042,9.4987,10.7839
"inverse gamma",14.7693673292501,NA,1.2145,5.975,0.18,5.8102,1.1925,0.5063,3.7689,0.181387669830112,0.998162,6.1836,7.2273,8.3479,9.5529,10.8502
"inverse gamma",14.6581502191257,NA,1.2207,6.0079,0.182,5.8753,1.2077,0.5106,3.775,0.182184777884679,0.998131,6.2109,7.2624,8.3921,9.6077,10.9171
"inverse gamma",14.5238496840256,NA,1.2284,6.0486,0.1855,6.0703,1.2316,0.5159,3.7823,0.183160860451766,0.998089,6.2445,7.3056,8.4465,9.6751,10.9997
"inverse gamma",14.4142439049701,NA,1.2347,6.0826,0.1833,6.0233,1.2277,0.5204,3.7884,0.183968681300407,0.998056,6.2725,7.3416,8.4919,9.7314,11.0686
"inverse gamma",14.3842008937551,NA,1.2365,6.092,0.1864,5.989,1.2285,0.5216,3.7901,0.184191896365626,0.998046,6.2803,7.3516,8.5045,9.747,11.0877
"inverse gamma",14.1764060111749,NA,1.2489,6.159,0.1851,6.0829,1.2432,0.5303,3.8016,0.185757347172117,0.997978,6.335,7.422,8.5933,9.8573,11.223
"inverse gamma",14.0954208230516,NA,1.2538,6.1859,0.1864,6.1259,1.2452,0.5338,3.8061,0.186377875289918,0.997952,6.3568,7.4501,8.6288,9.9015,11.2771
"inverse gamma",14.0483360903831,NA,1.2567,6.2018,0.1843,6.1609,1.247,0.5359,3.8086,0.186741393840174,0.997935,6.3696,7.4666,8.6497,9.9274,11.309
"inverse gamma",13.8914017662816,NA,1.2665,6.2557,0.1867,6.312,1.2721,0.5429,3.8173,0.187967849448452,0.997881,6.4131,7.5227,8.7206,10.0156,11.4173
"inverse gamma",13.7642830129566,NA,1.2746,6.3008,0.1896,6.2341,1.2625,0.5488,3.8244,0.188978397892881,0.997836,6.4492,7.5692,8.7795,10.089,11.5074
"inverse gamma",13.7093313425314,NA,1.2781,6.3206,0.1891,6.4324,1.2857,0.5514,3.8275,0.18942009000244,0.997817,6.465,7.5897,8.8054,10.1212,11.547
"inverse gamma",13.6447693422877,NA,1.2823,6.3443,0.1903,6.3154,1.2844,0.5544,3.831,0.189942827228144,0.997791,6.4838,7.614,8.8361,10.1595,11.5942
"inverse gamma",13.4978062798141,NA,1.292,6.3993,0.1933,6.5767,1.3077,0.5616,3.8391,0.191148319303529,0.997736,6.5274,7.6703,8.9075,10.2486,11.7038
"inverse gamma",13.4420427124149,NA,1.2958,6.4207,0.1896,6.3057,1.2851,0.5644,3.8423,0.191611499188063,0.997713,6.5443,7.6921,8.9351,10.283,11.7462
"inverse gamma",13.3771018716812,NA,1.3002,6.4459,0.1903,6.1843,1.2738,0.5676,3.8459,0.192154979839856,0.997688,6.5641,7.7178,8.9676,10.3236,11.7962
"inverse gamma",13.2214751222171,NA,1.3109,6.5079,0.1927,6.4445,1.3101,0.5757,3.8544,0.193475574573839,0.997626,6.6125,7.7805,9.0472,10.423,11.9188
"inverse gamma",13.18008752428,NA,1.3138,6.5248,0.1934,6.5505,1.3178,0.5778,3.8567,0.19383117150395,0.997608,6.6257,7.7974,9.0688,10.45,11.952
"inverse gamma",13.0963774516364,NA,1.3197,6.5593,0.195,6.6147,1.3253,0.5823,3.8613,0.194556154077458,0.997574,6.6525,7.8322,9.1129,10.5052,12.0201
"inverse gamma",13.0057670096809,NA,1.3262,6.5975,0.1938,6.7641,1.3408,0.5873,3.8662,0.195349712439537,0.997534,6.682,7.8705,9.1615,10.566,12.0953
"inverse gamma",12.9338117852882,NA,1.3315,6.6285,0.1956,6.5513,1.3322,0.5913,3.8701,0.195986531164855,0.997505,6.7057,7.9013,9.2008,10.6151,12.1559
"inverse gamma",12.8454636216727,NA,1.338,6.6672,0.1988,6.6845,1.3418,0.5963,3.8749,0.19677661511001,0.997464,6.7354,7.9398,9.2497,10.6764,12.2317
"inverse gamma",12.7608116476214,NA,1.3443,6.705,0.1958,6.6778,1.3389,0.6011,3.8794,0.197542256233871,0.997427,6.7642,7.9772,9.2974,10.7362,12.3056
"inverse gamma",12.7166315429681,NA,1.3476,6.7251,0.1975,6.6896,1.3471,0.6037,3.8818,0.197945245799502,0.997404,6.7795,7.997,9.3226,10.7678,12.3448
"inverse gamma",12.6494023312582,NA,1.3528,6.756,0.1992,6.8039,1.354,0.6077,3.8854,0.198563014863791,0.997376,6.8029,8.0275,9.3615,10.8165,12.405
"inverse gamma",12.5457064376073,NA,1.3608,6.8047,0.1979,6.8265,1.3615,0.614,3.8909,0.199526780348122,0.997326,6.8396,8.0753,9.4224,10.8929,12.4997
"inverse gamma",12.4477547722533,NA,1.3685,6.8519,0.199,6.8947,1.3703,0.6201,3.896,0.200449550026921,0.997278,6.875,8.1213,9.4812,10.9667,12.5912
"inverse gamma",12.4053707560245,NA,1.3719,6.8727,0.2022,7.1129,1.3952,0.6227,3.8983,0.200852634543158,0.997258,6.8906,8.1416,9.507,10.9992,12.6314
"inverse gamma",12.3549679670064,NA,1.3759,6.8977,0.1994,6.7875,1.3731,0.626,3.9008,0.201335009245997,0.997232,6.9092,8.1658,9.538,11.0381,12.6797
"inverse gamma",12.2431327580237,NA,1.385,6.9544,0.2023,6.8201,1.3836,0.6332,3.9066,0.202417249258094,0.997175,6.9512,8.2206,9.6079,11.1261,12.7889
"inverse gamma",12.2039313975989,NA,1.3883,6.9746,0.203,6.8677,1.3786,0.6358,3.9085,0.202800557484341,0.997155,6.9661,8.24,9.6328,11.1574,12.8278
"inverse gamma",12.1372453108281,NA,1.3938,7.0095,0.2048,7.1087,1.4028,0.6403,3.9119,0.203457401365553,0.997121,6.9918,8.2736,9.6757,11.2114,12.8948
"inverse gamma",12.0673475154231,NA,1.3997,7.0468,0.2031,7.1636,1.4035,0.6451,3.9154,0.204152445263589,0.997083,7.0191,8.3092,9.7213,11.2688,12.9662
"inverse gamma",12.0141461925972,NA,1.4042,7.0756,0.2042,7.1989,1.4124,0.6488,3.918,0.204686033243457,0.997054,7.0401,8.3367,9.7564,11.3131,13.0213
"inverse gamma",11.936132034719,NA,1.411,7.1186,0.2044,7.2348,1.4213,0.6543,3.9218,0.20547573641201,0.997011,7.0714,8.3775,9.8088,11.379,13.1034
"inverse gamma",11.8670833038222,NA,1.417,7.1574,0.205,7.058,1.4137,0.6592,3.9252,0.206181992228477,0.996972,7.0995,8.4142,9.8558,11.4384,13.1772
"inverse gamma",11.8144862820636,NA,1.4217,7.1875,0.2067,7.1709,1.4202,0.6631,3.9276,0.206724648667801,0.996943,7.1211,8.4426,9.8922,11.4842,13.2344
"inverse gamma",11.7508260582006,NA,1.4274,7.2244,0.2066,7.2243,1.4295,0.6678,3.9307,0.207386932715307,0.996906,7.1477,8.4773,9.9367,11.5405,13.3044
"inverse gamma",11.7060312190265,NA,1.4314,7.2508,0.2083,7.1663,1.4302,0.6712,3.9327,0.207856598891155,0.99688,7.1666,8.502,9.9685,11.5806,13.3544
"inverse gamma",11.6366719530085,NA,1.4377,7.2923,0.2088,7.3549,1.4335,0.6765,3.9359,0.208589845505868,0.996838,7.1962,8.5408,10.0182,11.6435,13.4328
"inverse gamma",11.5924917700486,NA,1.4418,7.3192,0.2106,7.8463,1.4749,0.6799,3.9379,0.209060772117584,0.996812,7.2153,8.5658,10.0504,11.6841,13.4835
"inverse gamma",11.5373958109012,NA,1.4469,7.3531,0.2119,7.8117,1.4743,0.6842,3.9403,0.209652324917569,0.996778,7.2393,8.5973,10.0909,11.7353,13.5475
"inverse gamma",11.4782721316889,NA,1.4525,7.3902,0.2085,7.6418,1.4714,0.6889,3.9429,0.210292464380528,0.996741,7.2654,8.6316,10.1349,11.7911,13.6171
"inverse gamma",11.423385183074,NA,1.4577,7.4251,0.2102,7.6323,1.4703,0.6933,3.9453,0.21089174981695,0.996707,7.29,8.6638,10.1764,11.8435,13.6826
"inverse gamma",11.3698036232868,NA,1.4629,7.4597,0.2131,7.7016,1.4825,0.6978,3.9475,0.211481505758239,0.996672,7.3142,8.6957,10.2173,11.8954,13.7475
"inverse gamma",11.3004401415517,NA,1.4696,7.5054,0.2157,7.5066,1.4765,0.7035,3.9504,0.212251999832576,0.99663,7.346,8.7375,10.2712,11.9636,13.8327
"inverse gamma",11.2619744275138,NA,1.4734,7.5311,0.2141,7.5746,1.4817,0.7068,3.9519,0.212682744522104,0.996602,7.3639,8.7609,10.3014,12.0019,13.8807
"inverse gamma",11.2036067425332,NA,1.4792,7.5707,0.21,7.6348,1.487,0.7118,3.9543,0.213341140660391,0.996564,7.3913,8.7969,10.3478,12.0608,13.9543
"inverse gamma",11.1530307104276,NA,1.4843,7.6056,0.2134,7.6927,1.492,0.7162,3.9562,0.213916368721541,0.99653,7.4153,8.8285,10.3885,12.1124,14.019
"inverse gamma",11.1004755327362,NA,1.4896,7.6423,0.2138,7.4858,1.484,0.7209,3.9583,0.214518814937173,0.996493,7.4406,8.8618,10.4314,12.1668,14.0872
"inverse gamma",11.0696138439141,NA,1.4928,7.6642,0.2133,7.6164,1.4875,0.7236,3.9593,0.214874847420195,0.996472,7.4555,8.8815,10.4568,12.1991,14.1277
"inverse gamma",11.0216494323313,NA,1.4977,7.6986,0.2154,7.7172,1.4991,0.728,3.9611,0.21543154117707,0.996439,7.479,8.9124,10.4967,12.2498,14.1912
"inverse gamma",10.9257830956297,NA,1.5078,7.7689,0.2175,8.0783,1.5344,0.7368,3.9644,0.216556629210738,0.99637,7.5267,8.9752,10.5778,12.353,14.3206
"inverse gamma",10.9182736389737,NA,1.5086,7.7745,0.2193,7.8746,1.5218,0.7375,3.9647,0.216645468782293,0.996364,7.5305,8.9802,10.5843,12.3611,14.3309
"inverse gamma",10.8718329290731,NA,1.5135,7.8093,0.2175,7.99,1.5157,0.7419,3.9662,0.217197194982185,0.996331,7.554,9.0112,10.6244,12.4121,14.3949
"inverse gamma",10.826845038305,NA,1.5184,7.8436,0.2147,8.0055,1.5224,0.7462,3.9677,0.217735495444698,0.996298,7.577,9.0416,10.6637,12.4621,14.4577
"inverse gamma",10.7832191653294,NA,1.5231,7.8773,0.2197,7.7688,1.5149,0.7504,3.969,0.218261144025986,0.996265,7.5996,9.0713,10.7022,12.5112,14.5193
"inverse gamma",10.7534782760479,NA,1.5263,7.9005,0.2173,7.8877,1.5294,0.7533,3.9699,0.218621570742405,0.996243,7.6151,9.0918,10.7287,12.5449,14.5617
"inverse gamma",10.688554315581,NA,1.5335,7.952,0.2203,7.9034,1.5324,0.7598,3.9717,0.219414301835844,0.996193,7.6493,9.137,10.7872,12.6195,14.6555
"inverse gamma",10.6345816669578,NA,1.5396,7.9956,0.2165,8.0442,1.5551,0.7652,3.9733,0.2200795816166,0.99615,7.6782,9.1752,10.8366,12.6825,14.7348
"inverse gamma",10.6155159505084,NA,1.5417,8.0112,0.219,7.7943,1.5289,0.7672,3.9738,0.220315966245005,0.996137,7.6885,9.1888,10.8543,12.705,14.763
"inverse gamma",10.5735409912304,NA,1.5465,8.0458,0.2214,8.7977,1.5701,0.7715,3.9749,0.220838946486441,0.996105,7.7113,9.219,10.8934,12.7549,14.8258
"inverse gamma",10.5299389989907,NA,1.5515,8.0823,0.2178,8.0395,1.5498,0.7761,3.9758,0.221385957067831,0.996068,7.7352,9.2506,10.9344,12.8073,14.8919
"inverse gamma",10.4798488664033,NA,1.5573,8.1249,0.2219,7.7821,1.5293,0.7814,3.9771,0.222019148912969,0.996029,7.763,9.2875,10.9822,12.8683,14.9687
"inverse gamma",10.4731281261893,NA,1.558,8.1307,0.221,8.1139,1.5614,0.7821,3.9772,0.222104498794404,0.996023,7.7668,9.2924,10.9887,12.8765,14.9791
"inverse gamma",10.3895225202143,NA,1.5679,8.2035,0.2234,8.3878,1.5667,0.7912,3.9789,0.223174110100855,0.995955,7.814,9.355,11.07,12.9804,15.11
"inverse gamma",10.3501039239187,NA,1.5726,8.2385,0.2229,7.7292,1.5289,0.7955,3.9797,0.223683521872558,0.99592,7.8367,9.385,11.1089,13.0302,15.1729
"inverse gamma",10.313410849581,NA,1.577,8.2716,0.2226,7.9099,1.5519,0.7996,3.9803,0.22416069560748,0.995889,7.8579,9.4132,11.1455,13.077,15.232
"inverse gamma",10.2730593505665,NA,1.5819,8.3084,0.2244,8.2617,1.5829,0.8042,3.9809,0.224688802144125,0.995854,7.8815,9.4445,11.1862,13.1291,15.2978
"inverse gamma",10.2279777132771,NA,1.5874,8.3501,0.2283,8.3498,1.5823,0.8093,3.9817,0.225283020000194,0.995815,7.9082,9.4799,11.2322,13.188,15.3721
"inverse gamma",10.2070363657717,NA,1.59,8.3697,0.2235,8.1134,1.5691,0.8118,3.9819,0.225560570502636,0.995798,7.9206,9.4964,11.2538,13.2156,15.407
"inverse gamma",10.1710336202458,NA,1.5945,8.4038,0.2251,8.698,1.6179,0.816,3.9823,0.226040021354301,0.995766,7.9422,9.5251,11.2912,13.2634,15.4675
"inverse gamma",10.1291449734159,NA,1.5997,8.4439,0.2279,8.241,1.5931,0.8209,3.9828,0.226601518158974,0.995728,7.9676,9.5589,11.3351,13.3197,15.5387
"inverse gamma",10.0962558951024,NA,1.6039,8.4758,0.2291,8.5053,1.6087,0.8249,3.9832,0.227045169373793,0.995696,7.9878,9.5856,11.3699,13.3643,15.5952
"inverse gamma",10.0499534219317,NA,1.6098,8.5214,0.2254,8.5712,1.6085,0.8305,3.9835,0.227673963228249,0.995654,8.0164,9.6237,11.4195,13.4279,15.6757
"inverse gamma",10.0236102285013,NA,1.6132,8.5477,0.2263,8.6884,1.6266,0.8337,3.9836,0.228033923518099,0.99563,8.0328,9.6455,11.448,13.4645,15.722
"inverse gamma",9.99213802813925,NA,1.6173,8.5794,0.2297,8.3764,1.6172,0.8376,3.9838,0.228466095449953,0.995601,8.0526,9.6719,11.4823,13.5086,15.7778
"inverse gamma",9.95355583613366,NA,1.6223,8.6187,0.2314,8.3088,1.601,0.8425,3.9839,0.228999089590848,0.995564,8.0771,9.7044,11.5248,13.5631,15.8469
"inverse gamma",9.92167399008572,NA,1.6265,8.6517,0.2294,8.5238,1.6143,0.8465,3.984,0.229442197461731,0.995535,8.0975,9.7316,11.5603,13.6087,15.9046
"inverse gamma",9.87314229761437,NA,1.633,8.7025,0.2321,8.7992,1.6427,0.8527,3.984,0.230121412533185,0.995487,8.1289,9.7734,11.6149,13.6788,15.9936
"inverse gamma",9.85369879825227,NA,1.6356,8.7232,0.2327,8.7535,1.6407,0.8553,3.984,0.230395136780141,0.995468,8.1416,9.7903,11.637,13.7072,16.0296
"inverse gamma",9.82005322445836,NA,1.6401,8.7592,0.2344,8.7285,1.6421,0.8597,3.9839,0.230870989389395,0.995435,8.1637,9.8198,11.6755,13.7567,16.0924
"inverse gamma",9.77901563745551,NA,1.6457,8.8038,0.2315,9.656,1.6808,0.8651,3.9837,0.231455183660035,0.995395,8.1909,9.8562,11.723,13.8178,16.17
"inverse gamma",9.75957346669212,NA,1.6484,8.8252,0.23,8.8273,1.6582,0.8677,3.9835,0.231733423785401,0.995376,8.2039,9.8735,11.7457,13.847,16.207
"inverse gamma",9.72853369605728,NA,1.6527,8.8596,0.2323,8.6513,1.6422,0.8719,3.9833,0.232179614294888,0.995345,8.2248,9.9014,11.7822,13.894,16.2667
"inverse gamma",9.69974010761641,NA,1.6567,8.8919,0.2326,8.8233,1.6633,0.8758,3.983,0.232595704610755,0.995313,8.2444,9.9275,11.8163,13.9379,16.3226
"inverse gamma",9.65954290712066,NA,1.6623,8.9376,0.2346,8.8142,1.6592,0.8814,3.9825,0.233180142613249,0.995274,8.2719,9.9643,11.8645,14,16.4014
"inverse gamma",9.62864198621549,NA,1.6667,8.9731,0.2324,8.7562,1.651,0.8857,3.9822,0.233632264154037,0.995241,8.2933,9.9929,11.9019,14.0482,16.4627
"inverse gamma",9.5997865118701,NA,1.6708,9.0067,0.2354,9.5825,1.6997,0.8898,3.9817,0.234056712382917,0.995211,8.3134,10.0198,11.9371,14.0936,16.5205
"normal",NA,NA,0,3,1e-04,2.9964,0.0011,0.0805,2.0233,4.75577426085616e-05,0.999043,2.3841,2.5849,2.7745,2.9545,3.1262
"pearson IV",17.9270604037726,-9.90632181745721,0.2021,3.2577,0.0345,3.2424,0.2026,0.1535,2.4114,0.0348167255339111,0.999992,3.1197,3.4719,3.8241,4.1778,4.5345
"pearson IV",16.7852408357919,-10.8390105745546,0.2429,3.3016,0.0402,3.3166,0.2462,0.1644,2.4704,0.0409306973797681,0.999972,3.2306,3.6052,3.9815,4.3612,4.7457
"pearson IV",13.6257563705649,-7.06712571668904,0.2283,3.3514,0.0406,3.3592,0.2323,0.1782,2.4786,0.0398253894606128,0.999877,3.3065,3.7064,4.1122,4.5256,4.9485
"pearson IV",11.3527221645997,-4.73769405125687,0.2117,3.4099,0.0376,3.3988,0.2075,0.1944,2.4842,0.0386124786485516,0.999697,3.3921,3.8214,4.2615,4.7148,5.1835
"pearson IV",11.0159029351477,-5.21097671981109,0.2436,3.4465,0.0427,3.4492,0.2407,0.2042,2.5266,0.0431880036385128,0.999629,3.4819,3.9306,4.3922,4.8692,5.3637
"pearson IV",9.8894336928823,-4.21808968620701,0.2397,3.498,0.044,3.4817,0.2399,0.2189,2.5369,0.0433954133095699,0.999431,3.5648,4.0401,4.5329,5.046,5.5822
"pearson IV",8.64478825273924,-2.83780719791725,0.2076,3.5581,0.042,3.5625,0.2104,0.2363,2.5178,0.040247868335422,0.9991,3.6327,4.1375,4.6663,5.2227,5.8102
"pearson IV",8.20480148574337,-2.5511211615596,0.2058,3.595,0.0396,3.5955,0.2035,0.2469,2.5219,0.0405151937746161,0.99892,3.6895,4.213,4.764,5.3467,5.9648
"pearson IV",7.75997862766497,-2.5097202015277,0.2242,3.6529,0.0444,3.65,0.2134,0.264,2.5478,0.0434714164978429,0.99868,3.8,4.3546,4.942,5.5667,6.2333
"pearson IV",7.36674811656587,-2.20772915568762,0.2181,3.6951,0.0437,3.6995,0.2111,0.2764,2.5449,0.043240424790973,0.998447,3.8589,4.4348,5.0478,5.7033,6.4063
"pearson IV",7.14494026087225,-2.30191032574326,0.2405,3.7419,0.0475,3.7404,0.2383,0.2903,2.5702,0.0464146194136913,0.998268,3.9531,4.5545,5.1972,5.8869,6.6294
"pearson IV",6.39575149383023,-1.32146652637748,0.173,3.8208,0.0397,3.8387,0.169,0.3114,2.5014,0.0394672932816061,0.997651,3.9929,4.6263,5.3111,6.0546,6.8643
"pearson IV",6.37877998720109,-1.58856405700417,0.2084,3.847,0.0451,3.8807,0.209,0.3211,2.5363,0.0438221848029776,0.997595,4.075,4.727,5.4328,6.1998,7.0358
"pearson IV",6.16567203609459,-1.52272769475821,0.2139,3.8964,0.0444,3.8979,0.2119,0.336,2.5389,0.0449548835496774,0.997337,4.1522,4.8298,5.5664,6.3704,7.2506
"pearson IV",5.97350956729054,-1.52769920389215,0.2285,3.9533,0.0488,3.9318,0.2278,0.3535,2.5489,0.0471714994324942,0.997065,4.2494,4.9572,5.7301,6.5774,7.509
"pearson IV",5.74220621126145,-1.35473151287297,0.2201,4.0092,0.0475,4.0139,0.2233,0.37,2.5331,0.046748954861895,0.996728,4.3171,5.0517,5.8582,6.7468,7.7288
"pearson IV",5.62520917274989,-1.39610609062854,0.2365,4.0572,0.0482,4.009,0.2343,0.3848,2.5428,0.0489864130104263,0.996517,4.4011,5.1615,5.9988,6.9243,7.9502
"pearson IV",5.51178853531741,-1.31971461337944,0.2334,4.0914,0.0494,4.0654,0.2392,0.395,2.5336,0.0489413945339016,0.996315,4.4435,5.2203,6.0782,7.0293,8.0864
"pearson IV",5.32500606356189,-1.23425924067153,0.235,4.1594,0.0502,4.1325,0.2397,0.4153,2.5218,0.0496670671005799,0.995945,4.5348,5.3449,6.2443,7.2464,8.3658
"pearson IV",5.21774145925231,-1.22830813028431,0.2442,4.2098,0.0515,4.2157,0.2376,0.4306,2.5203,0.0510501888131599,0.995708,4.6102,5.4458,6.3765,7.4166,8.5822
"pearson IV",5.12123932136688,-1.16415818575653,0.2412,4.2484,0.0507,4.2348,0.2348,0.442,2.5078,0.0510101343395148,0.995487,4.6556,5.5093,6.4629,7.5317,8.7327
"pearson IV",4.99958942468837,-1.09743393965415,0.2398,4.3037,0.052,4.3184,0.24,0.4583,2.4919,0.0512614228816427,0.995189,4.7227,5.6025,6.589,7.6988,8.9505
"pearson IV",4.90228555323184,-1.03756721084239,0.2369,4.3505,0.0506,4.3452,0.2365,0.4719,2.476,0.0512890515813058,0.994929,4.7764,5.6778,6.6916,7.8358,9.1304
"pearson IV",4.80539229724184,-0.995042163743637,0.2376,4.4044,0.052,4.4048,0.2384,0.4877,2.4609,0.0517330489588743,0.994653,4.8417,5.7682,6.8138,7.9978,9.3416
"pearson IV",4.74553954071412,-0.982905679484829,0.2414,4.4429,0.0549,4.4026,0.2524,0.4991,2.453,0.0523829785022272,0.994469,4.8918,5.8366,6.9052,8.1178,9.497
"pearson IV",4.66806884059496,-0.955798805106431,0.2438,4.4934,0.0543,4.525,0.2545,0.5138,2.4392,0.0529436054251138,0.994226,4.9531,5.9214,7.0197,8.2694,9.6947
"pearson IV",4.53707941313507,-0.732343269198202,0.2001,4.5475,0.048,4.4958,0.1975,0.5258,2.378,0.0488355568216117,0.99381,4.9559,5.9394,7.06,8.3411,9.8089
"pearson IV",4.47709723781934,-0.714167916947976,0.2013,4.5935,0.0516,4.6372,0.2089,0.5389,2.3635,0.0492601893721792,0.99359,5.0084,6.0125,7.1593,8.4734,9.9827
"pearson IV",4.42439825375425,-0.729337251117453,0.2113,4.6433,0.0519,4.7307,0.212,0.5539,2.3553,0.0505770202002064,0.99338,5.0766,6.1048,7.2819,8.6337,10.1897
"pearson IV",4.35743599120667,-0.674801014808007,0.2028,4.6934,0.052,4.7287,0.2162,0.567,2.3293,0.0500394337960124,0.993117,5.118,6.1656,7.3683,8.7533,10.3518
"pearson IV",4.30382621005503,-0.692072318144143,0.2141,4.751,0.0536,4.7939,0.2166,0.5841,2.3184,0.0515016175702112,0.992886,5.1945,6.2695,7.5067,8.9348,10.5869
"pearson IV",4.282496328637,-0.767379248853773,0.24,4.7937,0.0545,4.679,0.2339,0.5983,2.3269,0.0542780060060951,0.992773,5.2742,6.3731,7.6394,9.1028,10.7975
"pearson IV",4.193806225345,-0.629664280687459,0.2076,4.8549,0.0528,4.8089,0.2007,0.6117,2.2723,0.0514416948836374,0.9924,5.2905,6.4072,7.6986,9.1968,10.9382
"pearson IV",4.14921789874323,-0.619400618656539,0.2096,4.905,0.0516,4.9357,0.2203,0.6254,2.2542,0.0519100009642081,0.992185,5.343,6.4807,7.7993,9.3322,11.1177
"pearson IV",4.11182388002286,-0.587890498589724,0.2036,4.9427,0.0531,4.8665,0.2002,0.6347,2.2337,0.0515235166392949,0.992006,5.3706,6.5218,7.8585,9.415,11.2312
"pearson IV",4.06994177737227,-0.621990893018432,0.2208,5.0073,0.0551,5.1687,0.2285,0.654,2.2226,0.0534987269975694,0.991784,5.4578,6.6397,8.0151,9.6201,11.4967
"pearson IV",4.04507096940419,-0.670431647126563,0.2414,5.0574,0.0564,5.4247,0.2481,0.6694,2.2208,0.0556997898248957,0.991638,5.5344,6.7414,8.148,9.7918,11.7162
"pearson IV",4.01326103582745,-0.643248836603016,0.2364,5.094,0.0541,5.089,0.236,0.6785,2.2005,0.0553853919190314,0.991473,5.5612,6.7814,8.2055,9.8724,11.8269
"pearson IV",3.96775283766864,-0.579324099179357,0.2193,5.1407,0.0531,5.0797,0.2048,0.6885,2.1653,0.0539918146489671,0.991233,5.579,6.8126,8.2557,9.9485,11.9378
"pearson IV",3.93831946052425,-0.599550355516374,0.2313,5.1939,0.0538,5.5077,0.2475,0.7036,2.1531,0.0553429650636516,0.991058,5.6442,6.9015,8.3748,10.1057,12.1431
"pearson IV",3.90100778724672,-0.598077870689333,0.2364,5.2551,0.055,5.1925,0.2276,0.7198,2.131,0.0560777232978376,0.990837,5.7054,6.9873,8.4924,10.2642,12.354
"pearson IV",3.87369020667952,-0.600153779571876,0.2415,5.3033,0.0584,5.2552,0.2362,0.7326,2.1145,0.0567487338694618,0.990672,5.7545,7.0558,8.586,10.3902,12.5211
"pearson IV",3.84473446161719,-0.591388113011606,0.2427,5.3522,0.0572,5.6144,0.252,0.7449,2.094,0.0570489747356208,0.990494,5.7978,7.1174,8.6718,10.5073,12.6786
"pearson IV",3.82206402046094,-0.580700613411143,0.2421,5.3903,0.0591,5.3086,0.2309,0.7542,2.0765,0.0571365528151058,0.99035,5.8289,7.1622,8.7348,10.5941,12.7964
"pearson IV",3.78084452689625,-0.522806169572519,0.2245,5.4473,0.0526,5.3598,0.2236,0.7657,2.0362,0.0557500505082578,0.990094,5.8494,7.198,8.7921,10.6812,12.9237
