"distribution","shape1","shape2","skewness","kurtosis","m.star.sample","kurtosis.sample","skewness.sample","A","B","m.star","r2","alpha.100","alpha.1000","alpha.10000","alpha.100000","alpha.1000000"
"betaprime",7.28176456149667,39.1153924564132,0.9775,4.645,0.1531,4.6231,0.9725,0.2882,3.4869,0.153906145575595,0.999868,4.8267,5.4718,6.1284,6.7979,7.4817
"betaprime",8.63245610849466,32.6331335063558,0.9797,4.6996,0.1535,4.7199,0.9827,0.3037,3.4942,0.153306685110367,0.99977,4.9104,5.5839,6.2735,6.9811,7.7083
"betaprime",13.5517500420008,25.9304305555299,0.9722,4.756,0.149,4.7293,0.9679,0.3272,3.4848,0.15057609238746,0.999566,5.0175,5.7325,6.4716,7.2373,8.0318
"betaprime",4.69770591889042,98.6243881511036,1.0036,4.5901,0.1643,4.6134,1.0074,0.2521,3.5075,0.161412366105144,0.999999,4.6689,5.249,5.8287,6.4092,6.9912
"betaprime",5.25874621992465,62.6116565614939,1.0047,4.6423,0.1588,4.6604,1.0063,0.2672,3.5189,0.160427790095802,0.999977,4.7543,5.3628,5.9751,6.5925,7.216
"betaprime",6.83788068536669,39.2824162248289,0.9956,4.6991,0.158,4.6901,0.9954,0.2916,3.5153,0.156968144088546,0.999866,4.8712,5.5239,6.1883,6.8658,7.5579
"betaprime",7.39562532747164,34.8561787066399,1.0023,4.7502,0.155,4.6991,0.9936,0.3026,3.5282,0.157437033059613,0.999806,4.9378,5.6109,6.2988,7.0031,7.7254
"betaprime",9.06125592981,29.3097609590855,1.0024,4.8037,0.1593,4.8358,1.0091,0.3194,3.5305,0.156346493102676,0.999682,5.0232,5.7266,6.4502,7.196,7.9659
"betaprime",14.1966930276947,24.2164242736995,0.995,4.8553,0.1535,4.8967,1.0002,0.3415,3.5183,0.153701613321758,0.999473,5.1209,5.863,6.633,7.4335,8.2671
"betaprime",4.26456543151289,132.468173624948,1.0267,4.6403,0.1635,4.6777,1.0287,0.2501,3.5417,0.166076176402766,0.999999,4.6923,5.2702,5.8462,6.4212,6.9962
"betaprime",4.92344239250757,64.9110555092804,1.0266,4.7053,0.1662,4.6718,1.0212,0.27,3.5541,0.164365598554891,0.999978,4.8024,5.4175,6.0364,6.6603,7.29
"betaprime",5.83079966824967,44.2116655778373,1.0231,4.7585,0.1606,4.8371,1.0328,0.2892,3.5569,0.162225162070286,0.999904,4.8992,5.5494,6.2091,6.8799,7.563
"betaprime",6.28623213646933,38.7962829491822,1.0255,4.7952,0.1606,4.7925,1.0233,0.2988,3.5632,0.161946593217303,0.999855,4.9529,5.6208,6.3012,6.9956,7.7055
"betaprime",7.24035025365185,32.4757326100953,1.0282,4.8521,0.1602,4.8633,1.0304,0.3146,3.57,0.161315812305239,0.999754,5.0374,5.734,6.448,7.1812,7.9353
